code,trust_name,total_waiting_list,Date
NEF,Peninsula Ultrasound Limited,1817,2020-11-01
NTPH2,Practice Plus Group Hospital - Emersons Green,325,2020-11-01
NTPH5,Practice Plus Group Hospital - Plymouth,97,2020-11-01
NTPH1,Practice Plus Group Hospital - Shepton Mallet,258,2020-11-01
NTPH3,Practice Plus Group Surgical Centre - Devizes,146,2020-11-01
REF,Royal Cornwall Hospitals NHS Trust,6781,2020-11-01
RH8,Royal Devon and Exeter NHS Foundation Trust,5956,2020-11-01
RD1,Royal United Hospitals Bath NHS Foundation Trust,11054,2020-11-01
RNZ,Salisbury NHS Foundation Trust,3584,2020-11-01
RH5,Somerset NHS Foundation Trust,6289,2020-11-01
NT302,Spire Bristol Hospital,16,2020-11-01
NQT5K,St Martins Hospital,162,2020-11-01
AAH,Tetbury Hospital Trust Ltd,0,2020-11-01
NFC01,The Outside Clinic HQ,557,2020-11-01
RA9,Torbay and South Devon NHS Foundation Trust,4624,2020-11-01
DTM,Ultracardiac Ltd,168,2020-11-01
RA7,University Hospitals Bristol and Weston NHS Foundation Trust,14580,2020-11-01
R0D,University Hospitals Dorset NHS Foundation Trust,6314,2020-11-01
RK9,University Hospitals Plymouth NHS Trust,7992,2020-11-01
NVC22,Winfield Hospital,18,2020-11-01
RA4,Yeovil District Hospital NHS Foundation Trust,1941,2020-11-01
NWT,Action For Deafness,698,2020-11-01
RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,7409,2020-11-01
NVC01,Ashtead Hospital,16,2020-11-01
NWF01,Benenden Hospital,0,2020-11-01
RWX,Berkshire Healthcare NHS Foundation Trust,272,2020-11-01
DN4,Berkshire West Community Endoscopy Service,32,2020-11-01
NT417,BMI - Goring Hall Hospital,6,2020-11-01
NT433,BMI - Sarum Road Hospital,0,2020-11-01
NT408,BMI - The Chaucer Hospital,5,2020-11-01
NT410,BMI - The Chiltern Hospital,7,2020-11-01
NT418,BMI - The Hampshire Clinic,0,2020-11-01
NT428,BMI - The Princess Margaret Hospital,6,2020-11-01
NT431,BMI - The Runnymede Hospital,3,2020-11-01
NT435,BMI - The Shelburne Hospital,0,2020-11-01
NT455,BMI Mount Alvernia Hospital,1,2020-11-01
RXH,Brighton and Sussex University Hospitals NHS Trust,7870,2020-11-01
RXQ,Buckinghamshire Healthcare NHS Trust,5204,2020-11-01
NV323,Circle Reading Hospital,207,2020-11-01
RN7,Dartford and Gravesham NHS Trust,5527,2020-11-01
NGD01,Diagnostic Ultrasound Services,0,2020-11-01
NNE,Dorking Healthcare Limited (DHC),174,2020-11-01
RVV,East Kent Hospitals University NHS Foundation Trust,13203,2020-11-01
RXC,East Sussex Healthcare NHS Trust,7431,2020-11-01
NVM,Epsomedical Group,92,2020-11-01
NDJ,First Community Health and Care CIC,255,2020-11-01
RDU,Frimley Health NHS Foundation Trust,9957,2020-11-01
ATK,GP Health Partners Ltd,104,2020-11-01
RN5,Hampshire Hospitals NHS Foundation Trust,6338,2020-11-01
NWX,Here,65,2020-11-01
NVC25,Horton NHS Treatment Centre,8,2020-11-01
NV1,Inhealth Limited,31798,2020-11-01
NHA,Insidevue Limited,59,2020-11-01
R1F,Isle of Wight NHS Trust,1733,2020-11-01
G82114,Ivy Court Surgery,0,2020-11-01
RYY,Kent Community Health NHS Foundation Trust,99,2020-11-01
ADP02,Kims Hospital (Newnham Court),73,2020-11-01
RWF,Maidstone and Tunbridge Wells NHS Trust,7351,2020-11-01
DC8,Medical Imaging Partnership Ltd,488,2020-11-01
RPA,Medway NHS Foundation Trust,4382,2020-11-01
NVC11,North Downs Hospital,21,2020-11-01
NT205,"Nuffield Health, Brighton Hospital",3,2020-11-01
NT212,"Nuffield Health, Chichester Hospital",0,2020-11-01
NT218,"Nuffield Health, Haywards Heath Hospital",2,2020-11-01
NT241,"Nuffield Health, Woking Hospital",0,2020-11-01
NT244,Nuffield Hospital Oxford (The Manor),2,2020-11-01
RTH,Oxford University Hospitals NHS Foundation Trust,12756,2020-11-01
RPG,Oxleas NHS Foundation Trust,140,2020-11-01
RHU,Portsmouth Hospitals University National Health Service Trust,6350,2020-11-01
NTP11,Practice Plus Group Hospital - Southampton,481,2020-11-01
NTP16,Practice Plus Group Surgical Centre - Gillingham,190,2020-11-01
NTPAD,Practice Plus Group Surgical Centre - St Marys Portsmouth,1102,2020-11-01
RPC,Queen Victoria Hospital NHS Foundation Trust,855,2020-11-01
RHW,Royal Berkshire NHS Foundation Trust,4905,2020-11-01
RA2,Royal Surrey County Hospital NHS Foundation Trust,4363,2020-11-01
R1C,Solent NHS Trust,636,2020-11-01
RW1,Southern Health NHS Foundation Trust,985,2020-11-01
Y8L9S,Spamedica Bromley,0,2020-11-01
NT312,Spire Alexandra Hospital,195,2020-11-01
NT345,Spire Clare Park Hospital,9,2020-11-01
NT344,Spire Dunedin Hospital,28,2020-11-01
NT308,Spire Gatwick Park Hospital,5,2020-11-01
NT364,Spire Montefiore Hospital,2,2020-11-01
NT305,Spire Portsmouth Hospital,17,2020-11-01
NT304,Spire Southampton Hospital,75,2020-11-01
NT309,Spire Sussex Hospital,8,2020-11-01
NT343,Spire Thames Valley Hospital,5,2020-11-01
NT310,Spire Tunbridge Wells Hospital,4,2020-11-01
RTP,Surrey and Sussex Healthcare NHS Trust,7579,2020-11-01
RDR,Sussex Community NHS Foundation Trust,2142,2020-11-01
NL2,Sussex Health Care Audiology Ltd,134,2020-11-01
NMC01,Sussex Medical Centre Ltd (Clive Avenue),2249,2020-11-01
AJX,Sussex MSK Partnership 2,48,2020-11-01
G82050,Sydenham House Medical Centre,0,2020-11-01
NVC02,The Berkshire Independent Hospital,18,2020-11-01
NXM01,The Horder Centre - St Johns Road,7,2020-11-01
RHM,University Hospital Southampton NHS Foundation Trust,9660,2020-11-01
RYR,Western Sussex Hospitals NHS Foundation Trust,8662,2020-11-01
G82729,White Cliffs Medical Centre,212,2020-11-01
G82071,Whitstable Medical Practice,149,2020-11-01
RQ3,Birmingham Women's and Children's NHS Foundation Trust,2113,2020-11-01
NT412,BMI - The Droitwich Spa Hospital,32,2020-11-01
NT424,BMI - The Meriden Hospital,40,2020-11-01
NT427,BMI - The Park Hospital,16,2020-11-01
NT429,BMI - The Priory Hospital,3,2020-11-01
NT441,BMI - Three Shires Hospital,14,2020-11-01
NT445,BMI The Edgbaston Hospital,0,2020-11-01
NT450,BMI The Lincoln Hospital,43,2020-11-01
NVC27,Boston West Hospital,0,2020-11-01
RFS,Chesterfield Royal Hospital NHS Foundation Trust,6025,2020-11-01
RYG,Coventry and Warwickshire Partnership NHS Trust,75,2020-11-01
NEP,Diagnostic World Ltd,1519,2020-11-01
RLT,George Eliot Hospital NHS Trust,2745,2020-11-01
NO001,Healthharmonie Limited HQ,96,2020-11-01
RNQ,Kettering General Hospital NHS Foundation Trust,4997,2020-11-01
RT5,Leicestershire Partnership NHS Trust,1295,2020-11-01
DAY01,LLR Provider Company,1853,2020-11-01
RRE,Midlands Partnership NHS Foundation Trust,105,2020-11-01
RNS,Northampton General Hospital NHS Trust,6442,2020-11-01
RX1,Nottingham University Hospitals NHS Trust,20218,2020-11-01
NT213,"Nuffield Health, Derby Hospital",3,2020-11-01
NT226,"Nuffield Health, Leicester Hospital",8,2020-11-01
NT230,"Nuffield Health, North Staffordshire Hospital",3,2020-11-01
NT235,"Nuffield Health, Shrewsbury Hospital",0,2020-11-01
NT224,"Nuffield Health, Warwickshire Hospital",1,2020-11-01
NT242,"Nuffield Health, Wolverhampton Hospital",2,2020-11-01
NXV,Physiological Measurements Ltd,6717,2020-11-01
NTP13,Practice Plus Group Hospital - Barlborough,30,2020-11-01
NVC17,Rowley Hall Hospital,34,2020-11-01
RXK,Sandwell and West Birmingham Hospitals NHS Trust,9889,2020-11-01
NXX,Scrivens Ltd,1251,2020-11-01
RK5,Sherwood Forest Hospitals NHS Foundation Trust,7712,2020-11-01
R1D,Shropshire Community Health NHS Trust,555,2020-11-01
RJC,South Warwickshire NHS Foundation Trust,4836,2020-11-01
NPG11,Spamedica (Birmingham),0,2020-11-01
NPG21,Spamedica Coventry,0,2020-11-01
NPG23,Spamedica Derby,0,2020-11-01
NPG15,Spamedica Newcastle-Under-Lyme,0,2020-11-01
NPG20,Spamedica Wolverhampton,0,2020-11-01
NYN,Specsavers Hearcare Group Ltd,1628,2020-11-01
NT322,Spire Leicester Hospital,14,2020-11-01
NT321,Spire Little Aston Hospital,36,2020-11-01
NT30A,Spire Nottingham Hospital,27,2020-11-01
NT320,Spire Parkway Hospital,90,2020-11-01
NT301,Spire South Bank Hospital,76,2020-11-01
RNA,The Dudley Group NHS Foundation Trust,7450,2020-11-01
RL1,The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,903,2020-11-01
RRJ,The Royal Orthopaedic Hospital NHS Foundation Trust,1080,2020-11-01
RL4,The Royal Wolverhampton NHS Trust,13335,2020-11-01
RXW,The Shrewsbury and Telford Hospital NHS Trust,10045,2020-11-01
RWD,United Lincolnshire Hospitals NHS Trust,13511,2020-11-01
RRK,University Hospitals Birmingham NHS Foundation Trust,19340,2020-11-01
RKB,University Hospitals Coventry and Warwickshire NHS Trust,10156,2020-11-01
RTG,University Hospitals of Derby and Burton NHS Foundation Trust,15781,2020-11-01
RWE,University Hospitals of Leicester NHS Trust,22246,2020-11-01
RJE,University Hospitals of North Midlands NHS Trust,12456,2020-11-01
RBK,Walsall Healthcare NHS Trust,4694,2020-11-01
NVC21,West Midlands Hospital,183,2020-11-01
NVC23,Woodland Hospital,118,2020-11-01
NVC40,Woodthorpe Hospital,133,2020-11-01
RWP,Worcestershire Acute Hospitals NHS Trust,8238,2020-11-01
RLQ,Wye Valley NHS Trust,5093,2020-11-01
NT933,Alliance Medical MRI Service - Essex,0,2020-11-01
RC9,Bedfordshire Hospitals NHS Foundation Trust,10276,2020-11-01
NVC31,Blakelands Hospital,157,2020-11-01
NT423,BMI - The Manor Hospital,0,2020-11-01
NT432,BMI - The Sandringham Hospital,0,2020-11-01
NT434,BMI - The Saxon Clinic,1,2020-11-01
NT446,BMI St Edmunds Hospital,4,2020-11-01
RGT,Cambridge University Hospitals NHS Foundation Trust,14364,2020-11-01
RYV,Cambridgeshire Community Services NHS Trust,675,2020-11-01
RWH,East and North Hertfordshire NHS Trust,10957,2020-11-01
RDE,East Suffolk and North Essex NHS Foundation Trust,9172,2020-11-01
NVC06,Fitzwilliam Hospital,74,2020-11-01
NYR,Healthshare Diagnostics,8110,2020-11-01
RGP,James Paget University Hospitals NHS Foundation Trust,5645,2020-11-01
RAJ,Mid and South Essex NHS Foundation Trust,24018,2020-11-01
RD8,Milton Keynes University Hospital NHS Foundation Trust,6790,2020-11-01
RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,16043,2020-11-01
RGN,North West Anglia NHS Foundation Trust,11897,2020-11-01
NT204,"Nuffield Health, Brentwood Hospital",0,2020-11-01
NT209,"Nuffield Health, Cambridge Hospital",1,2020-11-01
NVC13,Oaks Hospital,14,2020-11-01
NVC15,Pinehill Hospital,33,2020-11-01
NQA,Provide,222,2020-11-01
NVC19,Rivers Hospital,3,2020-11-01
RGM,Royal Papworth Hospital NHS Foundation Trust,928,2020-11-01
NPG19,Spamedica Bedford,0,2020-11-01
NPG16,Spamedica Chelmsford,0,2020-11-01
NT315,Spire Bushey Hospital,78,2020-11-01
NT317,Spire Cambridge Lea Hospital,15,2020-11-01
NT316,Spire Harpenden Hospital,92,2020-11-01
NT319,Spire Hartswood Hospital,35,2020-11-01
NT313,Spire Wellesley Hospital,98,2020-11-01
NVC18,Springfield Hospital,19,2020-11-01
NDL01,Suffolk GP Federation - Woodbridge,1126,2020-11-01
RQW,The Princess Alexandra Hospital NHS Trust,8139,2020-11-01
RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",6515,2020-11-01
RWG,West Hertfordshire Hospitals NHS Trust,7048,2020-11-01
RGR,West Suffolk NHS Foundation Trust,6535,2020-11-01
RBS,Alder Hey Children's NHS Foundation Trust,265,2020-11-01
NRP,Beacon Medical Services Group Limited,213,2020-11-01
RXL,Blackpool Teaching Hospitals NHS Foundation Trust,4995,2020-11-01
NT401,BMI - The Alexandra Hospital,84,2020-11-01
NT403,BMI - The Beardwood Hospital,83,2020-11-01
NT404,BMI - The Beaumont Hospital,30,2020-11-01
NT420,BMI - The Highfield Hospital,69,2020-11-01
NT497,BMI Gisburne Park Hospital,0,2020-11-01
NT449,BMI The Lancaster Hospital,0,2020-11-01
RMC,Bolton NHS Foundation Trust,4292,2020-11-01
RY2,Bridgewater Community Healthcare NHS Foundation Trust,338,2020-11-01
RJR,Countess of Chester Hospital NHS Foundation Trust,4426,2020-11-01
DKE,Curx Health Limited,55,2020-11-01
NEM,Diagnostic Healthcare Ltd,3091,2020-11-01
RJN,East Cheshire NHS Trust,4880,2020-11-01
RXR,East Lancashire Hospitals NHS Trust,11726,2020-11-01
NVC05,Euxton Hall Hospital,297,2020-11-01
NVG01,Fairfield Hospital,37,2020-11-01
NVC07,Fulwood Hall Hospital,260,2020-11-01
NLE06,Glodwick Primary Care Centre,381,2020-11-01
NFO,Kleyn Healthcare,0,2020-11-01
RW5,Lancashire & South Cumbria NHS Foundation Trust,183,2020-11-01
RXN,Lancashire Teaching Hospitals NHS Foundation Trust,11855,2020-11-01
RBQ,Liverpool Heart and Chest Hospital NHS Foundation Trust,1122,2020-11-01
REM,Liverpool University Hospitals NHS Foundation Trust,11579,2020-11-01
REP,Liverpool Women's NHS Foundation Trust,371,2020-11-01
NN5,Manchester Surgical Services Ltd,41,2020-11-01
R0A,Manchester University NHS Foundation Trust,20381,2020-11-01
C81081,Manor House Surgery,65,2020-11-01
NBG,Mediscan Diagnostics Services Limited,1820,2020-11-01
RBT,Mid Cheshire Hospitals NHS Foundation Trust,7722,2020-11-01
NV10Y,North West Cats - Inhealth Pathway Management Centre,2201,2020-11-01
NT210,"Nuffield Health, The Grosvenor Hospital, Chester",0,2020-11-01
NVC12,Oaklands Hospital,47,2020-11-01
NV6,PDS Medical Ltd,91,2020-11-01
RW6,Pennine Acute Hospitals NHS Trust,22535,2020-11-01
NVC16,Renacres Hospital,219,2020-11-01
RM3,Salford Royal NHS Foundation Trust,12631,2020-11-01
NFB,Scan Assure Medical Ultrasound Limited,583,2020-11-01
RVY,Southport and Ormskirk Hospital NHS Trust,2707,2020-11-01
NPG13,Spamedica - Skelmersdale,0,2020-11-01
NPG08,Spamedica (Bolton),0,2020-11-01
NPG01,Spamedica (Manchester),0,2020-11-01
NPG02,Spamedica (Wirral),0,2020-11-01
NPG06,Spamedica Liverpool,0,2020-11-01
NPG17,Spamedica Preston,0,2020-11-01
NPG14,Spamedica Widnes,0,2020-11-01
NT324,Spire Cheshire Hospital,133,2020-11-01
NT347,Spire Fylde Coast Hospital,87,2020-11-01
NT337,Spire Liverpool Hospital,382,2020-11-01
NT327,Spire Manchester Hospital,63,2020-11-01
NT325,Spire Murrayfield Hospital,53,2020-11-01
NT339,Spire Regency Hospital,159,2020-11-01
RBN,St Helens and Knowsley Teaching Hospitals NHS Trust,9903,2020-11-01
RWJ,Stockport NHS Foundation Trust,10744,2020-11-01
RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,4014,2020-11-01
RBV,The Christie NHS Foundation Trust,318,2020-11-01
REN,The Clatterbridge Cancer Centre NHS Foundation Trust,12,2020-11-01
NPF01,The Industrial Diagnostics Company,14,2020-11-01
RET,The Walton Centre NHS Foundation Trust,1125,2020-11-01
RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,5912,2020-11-01
RWW,Warrington and Halton Teaching Hospitals NHS Foundation Trust,9419,2020-11-01
RY7,Wirral Community Health and Care NHS Foundation Trust,133,2020-11-01
RBL,Wirral University Teaching Hospital NHS Foundation Trust,6319,2020-11-01
RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust",5165,2020-11-01
AAF,360 Care Ltd,488,2020-11-01
RCF,Airedale NHS Foundation Trust,3094,2020-11-01
RFF,Barnsley Hospital NHS Foundation Trust,3932,2020-11-01
NT440,BMI - Thornbury Hospital,48,2020-11-01
NT447,BMI The Duchy Hospital,5,2020-11-01
NT448,BMI The Huddersfield Hospital,23,2020-11-01
NT457,BMI Woodlands Hospital,32,2020-11-01
RAE,Bradford Teaching Hospitals NHS Foundation Trust,7547,2020-11-01
RWY,Calderdale and Huddersfield NHS Foundation Trust,9906,2020-11-01
NVC28,Clifton Park Hospital,1,2020-11-01
NVC29,Cobalt Hospital,105,2020-11-01
RXP,County Durham and Darlington NHS Foundation Trust,8221,2020-11-01
RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,11915,2020-11-01
RR7,Gateshead Health NHS Foundation Trust,4072,2020-11-01
A84031,Greystoke Surgery,0,2020-11-01
RCD,Harrogate and District NHS Foundation Trust,3663,2020-11-01
RWA,Hull University Teaching Hospitals NHS Trust,10512,2020-11-01
RY6,Leeds Community Healthcare NHS Trust,794,2020-11-01
RR8,Leeds Teaching Hospitals NHS Trust,13892,2020-11-01
RXF,Mid Yorkshire Hospitals NHS Trust,5568,2020-11-01
NX2,Minor Ops Ltd,36,2020-11-01
RNN,North Cumbria Integrated Care NHS Foundation Trust,12525,2020-11-01
RVW,North Tees and Hartlepool NHS Foundation Trust,3953,2020-11-01
RJL,Northern Lincolnshire and Goole NHS Foundation Trust,17975,2020-11-01
RTF,Northumbria Healthcare NHS Foundation Trust,8484,2020-11-01
NQH,Novus Health Ltd,0,2020-11-01
NT225,"Nuffield Health, Leeds Hospital",12,2020-11-01
NT229,"Nuffield Health, Newcastle Upon Tyne Hospital",0,2020-11-01
NT237,"Nuffield Health, Tees Hospital",10,2020-11-01
NT245,"Nuffield Health, York Hospital",6,2020-11-01
NVC14,Park Hill Hospital,0,2020-11-01
NEQ,Phoenix Health Solutions Limited HQ,257,2020-11-01
NEY,Pioneer Healthcare Limited,44,2020-11-01
RCU,Sheffield Children's NHS Foundation Trust,1174,2020-11-01
RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,11519,2020-11-01
RTR,South Tees Hospitals NHS Foundation Trust,7529,2020-11-01
R0B,South Tyneside and Sunderland NHS Foundation Trust,7530,2020-11-01
RXG,South West Yorkshire Partnership NHS Foundation Trust,194,2020-11-01
NPG10,Spamedica (Sheffiled),0,2020-11-01
NPG12,Spamedica Eccleshill Treatment Centre,0,2020-11-01
NPG07,Spamedica Eye Hospital (Wakefield),0,2020-11-01
NPG18,Spamedica Hull,0,2020-11-01
NPG22,Spamedica Stockton-On-Tees,0,2020-11-01
NT348,Spire Elland Hospital,130,2020-11-01
NT351,Spire Hull and East Riding Hospital,212,2020-11-01
NT332,Spire Leeds Hospital,28,2020-11-01
NT350,Spire Methley Park Hospital,22,2020-11-01
NT333,Spire Washington Hospital,65,2020-11-01
NVC0R,Tees Valley Hospital,111,2020-11-01
AJ8,The Grange Medical Centre HQ,318,2020-11-01
NID,The Living Care Group,0,2020-11-01
RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,10691,2020-11-01
RFR,The Rotherham NHS Foundation Trust,4896,2020-11-01
NVC20,The Yorkshire Clinic,256,2020-11-01
NN4,Tyneside Surgical Services Ltd,68,2020-11-01
AGA,Westcliffe Health Innovations Ltd,29,2020-11-01
RCB,York Teaching Hospital NHS Foundation Trust,6773,2020-11-01
NKO,Yorkshire Health Solutions Ltd,221,2020-11-01
RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",9624,2020-10-01
R1H,Barts Health NHS Trust,30582,2020-10-01
NT405,BMI - Bishops Wood,43,2020-10-01
NT409,BMI - Chelsfield Park Hospital,38,2020-10-01
NT416,BMI - Hendon Hospital,23,2020-10-01
NT436,BMI - Shirley Oaks Hospital,17,2020-10-01
NT406,BMI - The Blackheath Hospital,55,2020-10-01
NT411,BMI - The Clementine Churchill Hospital,54,2020-10-01
NT421,BMI - The Kings Oak Hospital,19,2020-10-01
NT422,BMI - The London Independent Hospital,138,2020-10-01
NT437,BMI - The Sloane Hospital,0,2020-10-01
NT451,BMI The Cavell Hospital,30,2020-10-01
NQV,Bromley Healthcare,266,2020-10-01
RV3,Central and North West London NHS Foundation Trust,55,2020-10-01
RQM,Chelsea and Westminster Hospital NHS Foundation Trust,6937,2020-10-01
RJ6,Croydon Health Services NHS Trust,8569,2020-10-01
RVR,Epsom and St Helier University Hospitals NHS Trust,9335,2020-10-01
RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,1869,2020-10-01
RJ1,Guy's and St Thomas' NHS Foundation Trust,11133,2020-10-01
RQX,Homerton University Hospital NHS Foundation Trust,4561,2020-10-01
RY9,Hounslow and Richmond Community Healthcare NHS Trust,168,2020-10-01
RYJ,Imperial College Healthcare NHS Trust,12475,2020-10-01
RJZ,King's College Hospital NHS Foundation Trust,13928,2020-10-01
RAX,Kingston Hospital NHS Foundation Trust,8203,2020-10-01
RJ2,Lewisham and Greenwich NHS Trust,15276,2020-10-01
R1K,London North West University Healthcare NHS Trust,6943,2020-10-01
RP6,Moorfields Eye Hospital NHS Foundation Trust,136,2020-10-01
RAP,North Middlesex University Hospital NHS Trust,4239,2020-10-01
NTP15,Practice Plus Group Hospital - Ilford,365,2020-10-01
RT3,Royal Brompton & Harefield NHS Foundation Trust,474,2020-10-01
RAL,Royal Free London NHS Foundation Trust,11341,2020-10-01
RAN,Royal National Orthopaedic Hospital NHS Trust,2245,2020-10-01
RV5,South London and Maudsley NHS Foundation Trust,0,2020-10-01
T8R5I,Spamedica Wokingham,0,2020-10-01
NT314,Spire London East,172,2020-10-01
NT3X3,Spire St Anthony's Hospital,62,2020-10-01
RJ7,St George's University Hospitals NHS Foundation Trust,10341,2020-10-01
DK6,Surgimed Healthcare Ltd,20,2020-10-01
RAS,The Hillingdon Hospitals NHS Foundation Trust,5099,2020-10-01
RPY,The Royal Marsden NHS Foundation Trust,0,2020-10-01
RRV,University College London Hospitals NHS Foundation Trust,8562,2020-10-01
RKL,West London NHS Trust,433,2020-10-01
NVC0M,West Valley Hospital,82,2020-10-01
RKE,Whittington Health NHS Trust,3626,2020-10-01
NNV,Your Healthcare,6,2020-10-01
NT402,BMI - Bath Clinic,11,2020-10-01
NT419,BMI - The Harbour Hospital,0,2020-10-01
NT430,BMI - The Ridgeway Hospital,11,2020-10-01
NT443,BMI - The Winterbourne Hospital,0,2020-10-01
NX0,Chime Social Enterprise,1532,2020-10-01
NV302,Circle Bath Hospital,56,2020-10-01
RJ8,Cornwall Partnership NHS Foundation Trust,50,2020-10-01
RBD,Dorset County Hospital NHS Foundation Trust,4191,2020-10-01
RDY,Dorset Healthcare University NHS Foundation Trust,893,2020-10-01
NVC04,Duchy Hospital,11,2020-10-01
NGL,Echogenicity Limited,612,2020-10-01
NCL01,Express Diagnostics (Derriford),48,2020-10-01
RTQ,Gloucestershire Health and Care NHS Foundation Trust,52,2020-10-01
RTE,Gloucestershire Hospitals NHS Foundation Trust,9291,2020-10-01
NWV,GP Care UK Limited,769,2020-10-01
RN3,Great Western Hospitals NHS Foundation Trust,7483,2020-10-01
NXP,Independent Health Group,0,2020-10-01
NV11D,Inhealth - Prime Endoscopy Bristol,1102,2020-10-01
NVC08,Mount Stuart Hospital,19,2020-10-01
NVC09,New Hall Hospital,56,2020-10-01
RVJ,North Bristol NHS Trust,12020,2020-10-01
RBZ,Northern Devon Healthcare NHS Trust,3580,2020-10-01
