Provider Parent Org Code,Provider Parent Name,Treatment Function Name,Total waiting > 52 weeks,Total waiting > 18 weeks
QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,"Ear, Nose & Throat (ENT)",495,2851
QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Gastroenterology,79,1759
QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,General Medicine,6,138
QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,General Surgery,748,4019
QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Geriatric Medicine,5,47
QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Gynaecology,478,2636
QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Neurology,13,438
QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Ophthalmology,325,3551
QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Oral Surgery,718,2112
QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Other,1098,4801
QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Plastic Surgery,26,111
QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Rheumatology,5,356
QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Thoracic Medicine,168,1003
QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Total,7407,37720
QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Trauma & Orthopaedics,1947,6788
QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Urology,983,4864
QH8,MID AND SOUTH ESSEX STP,Cardiology,62,1937
QH8,MID AND SOUTH ESSEX STP,Cardiothoracic Surgery,8,167
QH8,MID AND SOUTH ESSEX STP,Dermatology,30,1343
QH8,MID AND SOUTH ESSEX STP,"Ear, Nose & Throat (ENT)",1061,5668
QH8,MID AND SOUTH ESSEX STP,Gastroenterology,69,1873
QH8,MID AND SOUTH ESSEX STP,General Medicine,31,461
QH8,MID AND SOUTH ESSEX STP,General Surgery,1196,4097
QH8,MID AND SOUTH ESSEX STP,Geriatric Medicine,3,61
QH8,MID AND SOUTH ESSEX STP,Gynaecology,345,2480
QH8,MID AND SOUTH ESSEX STP,Neurology,10,414
QH8,MID AND SOUTH ESSEX STP,Neurosurgery,2,17
QH8,MID AND SOUTH ESSEX STP,Ophthalmology,1187,5407
QH8,MID AND SOUTH ESSEX STP,Oral Surgery,303,1599
QH8,MID AND SOUTH ESSEX STP,Other,729,4905
QH8,MID AND SOUTH ESSEX STP,Plastic Surgery,885,2233
QH8,MID AND SOUTH ESSEX STP,Rheumatology,64,626
QH8,MID AND SOUTH ESSEX STP,Thoracic Medicine,28,831
QH8,MID AND SOUTH ESSEX STP,Total,10656,48311
QH8,MID AND SOUTH ESSEX STP,Trauma & Orthopaedics,3783,11226
QH8,MID AND SOUTH ESSEX STP,Urology,860,2966
QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Cardiology,23,704
QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Dermatology,12,312
QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP","Ear, Nose & Throat (ENT)",253,3805
QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Gastroenterology,58,1018
QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",General Medicine,73,954
QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",General Surgery,171,1520
QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Geriatric Medicine,4,8
QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Gynaecology,81,1614
QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Neurology,8,454
QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Ophthalmology,444,6416
QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Oral Surgery,415,2797
QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Other,261,3960
QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Plastic Surgery,44,294
QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Rheumatology,6,350
QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Thoracic Medicine,15,472
QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Total,3729,31895
QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Trauma & Orthopaedics,1520,4872
QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Urology,341,2345
QHL,BIRMINGHAM AND SOLIHULL STP,Cardiology,63,2462
QHL,BIRMINGHAM AND SOLIHULL STP,Cardiothoracic Surgery,1,12
QHL,BIRMINGHAM AND SOLIHULL STP,Dermatology,324,2830
QHL,BIRMINGHAM AND SOLIHULL STP,"Ear, Nose & Throat (ENT)",1874,8079
QHL,BIRMINGHAM AND SOLIHULL STP,Gastroenterology,287,2135
QHL,BIRMINGHAM AND SOLIHULL STP,General Medicine,0,34
QHL,BIRMINGHAM AND SOLIHULL STP,General Surgery,1404,4747
QHL,BIRMINGHAM AND SOLIHULL STP,Geriatric Medicine,9,121
QHL,BIRMINGHAM AND SOLIHULL STP,Gynaecology,372,2818
QHL,BIRMINGHAM AND SOLIHULL STP,Neurology,130,2465
QHL,BIRMINGHAM AND SOLIHULL STP,Neurosurgery,207,1291
QHL,BIRMINGHAM AND SOLIHULL STP,Ophthalmology,1328,6572
QHL,BIRMINGHAM AND SOLIHULL STP,Oral Surgery,551,3672
QHL,BIRMINGHAM AND SOLIHULL STP,Other,3350,17082
QHL,BIRMINGHAM AND SOLIHULL STP,Plastic Surgery,296,1048
QHL,BIRMINGHAM AND SOLIHULL STP,Rheumatology,2,430
QHL,BIRMINGHAM AND SOLIHULL STP,Thoracic Medicine,11,868
QHL,BIRMINGHAM AND SOLIHULL STP,Total,12860,71182
QHL,BIRMINGHAM AND SOLIHULL STP,Trauma & Orthopaedics,625,8590
QHL,BIRMINGHAM AND SOLIHULL STP,Urology,2026,5926
QHM,CUMBRIA AND NORTH EAST STP,Cardiology,307,2557
QHM,CUMBRIA AND NORTH EAST STP,Cardiothoracic Surgery,3,49
QHM,CUMBRIA AND NORTH EAST STP,Dermatology,735,5764
QHM,CUMBRIA AND NORTH EAST STP,"Ear, Nose & Throat (ENT)",1164,7708
QHM,CUMBRIA AND NORTH EAST STP,Gastroenterology,141,1966
QHM,CUMBRIA AND NORTH EAST STP,General Medicine,63,476
QHM,CUMBRIA AND NORTH EAST STP,General Surgery,947,7609
QHM,CUMBRIA AND NORTH EAST STP,Geriatric Medicine,1,111
QHM,CUMBRIA AND NORTH EAST STP,Gynaecology,858,4737
QHM,CUMBRIA AND NORTH EAST STP,Neurology,200,1541
QHM,CUMBRIA AND NORTH EAST STP,Neurosurgery,77,766
QHM,CUMBRIA AND NORTH EAST STP,Ophthalmology,3071,16020
QHM,CUMBRIA AND NORTH EAST STP,Oral Surgery,379,2626
QHM,CUMBRIA AND NORTH EAST STP,Other,1864,11660
QHM,CUMBRIA AND NORTH EAST STP,Plastic Surgery,796,3562
QHM,CUMBRIA AND NORTH EAST STP,Rheumatology,33,403
QHM,CUMBRIA AND NORTH EAST STP,Thoracic Medicine,40,702
QHM,CUMBRIA AND NORTH EAST STP,Total,19287,98608
QHM,CUMBRIA AND NORTH EAST STP,Trauma & Orthopaedics,7863,25017
QHM,CUMBRIA AND NORTH EAST STP,Urology,745,5334
QJ2,JOINED UP CARE DERBYSHIRE STP,Cardiology,56,495
QJ2,JOINED UP CARE DERBYSHIRE STP,Cardiothoracic Surgery,0,0
QJ2,JOINED UP CARE DERBYSHIRE STP,Dermatology,215,2116
QJ2,JOINED UP CARE DERBYSHIRE STP,"Ear, Nose & Throat (ENT)",530,3879
QJ2,JOINED UP CARE DERBYSHIRE STP,Gastroenterology,85,1226
QJ2,JOINED UP CARE DERBYSHIRE STP,General Medicine,10,164
QJ2,JOINED UP CARE DERBYSHIRE STP,General Surgery,1086,4232
QJ2,JOINED UP CARE DERBYSHIRE STP,Geriatric Medicine,8,60
QJ2,JOINED UP CARE DERBYSHIRE STP,Gynaecology,408,2714
QJ2,JOINED UP CARE DERBYSHIRE STP,Neurology,13,427
QJ2,JOINED UP CARE DERBYSHIRE STP,Neurosurgery,4,46
QJ2,JOINED UP CARE DERBYSHIRE STP,Ophthalmology,1151,7153
QJ2,JOINED UP CARE DERBYSHIRE STP,Oral Surgery,257,600
QJ2,JOINED UP CARE DERBYSHIRE STP,Other,1875,8226
QJ2,JOINED UP CARE DERBYSHIRE STP,Plastic Surgery,133,393
QJ2,JOINED UP CARE DERBYSHIRE STP,Rheumatology,33,574
QJ2,JOINED UP CARE DERBYSHIRE STP,Thoracic Medicine,14,261
QJ2,JOINED UP CARE DERBYSHIRE STP,Total,10688,49607
QJ2,JOINED UP CARE DERBYSHIRE STP,Trauma & Orthopaedics,4248,14760
QJ2,JOINED UP CARE DERBYSHIRE STP,Urology,562,2281
QJG,SUFFOLK AND NORTH EAST ESSEX ICS,Cardiology,5,178
QJG,SUFFOLK AND NORTH EAST ESSEX ICS,Dermatology,11,1599
QJG,SUFFOLK AND NORTH EAST ESSEX ICS,"Ear, Nose & Throat (ENT)",343,3269
QJG,SUFFOLK AND NORTH EAST ESSEX ICS,Gastroenterology,197,1795
QJG,SUFFOLK AND NORTH EAST ESSEX ICS,General Medicine,25,120
QJG,SUFFOLK AND NORTH EAST ESSEX ICS,General Surgery,1677,7041
QJG,SUFFOLK AND NORTH EAST ESSEX ICS,Geriatric Medicine,4,10
QJG,SUFFOLK AND NORTH EAST ESSEX ICS,Gynaecology,872,3855
QJG,SUFFOLK AND NORTH EAST ESSEX ICS,Neurology,9,529
QJG,SUFFOLK AND NORTH EAST ESSEX ICS,Ophthalmology,1017,3471
QJG,SUFFOLK AND NORTH EAST ESSEX ICS,Oral Surgery,114,1033
QJG,SUFFOLK AND NORTH EAST ESSEX ICS,Other,282,2112
QJG,SUFFOLK AND NORTH EAST ESSEX ICS,Plastic Surgery,84,790
QJG,SUFFOLK AND NORTH EAST ESSEX ICS,Rheumatology,33,774
QJG,SUFFOLK AND NORTH EAST ESSEX ICS,Thoracic Medicine,9,209
QJG,SUFFOLK AND NORTH EAST ESSEX ICS,Total,7830,38820
QJG,SUFFOLK AND NORTH EAST ESSEX ICS,Trauma & Orthopaedics,2710,9430
QJG,SUFFOLK AND NORTH EAST ESSEX ICS,Urology,438,2605
QJK,DEVON STP,Cardiology,640,3249
QJK,DEVON STP,Cardiothoracic Surgery,70,537
QJK,DEVON STP,Dermatology,42,1956
QJK,DEVON STP,"Ear, Nose & Throat (ENT)",576,3649
QJK,DEVON STP,Gastroenterology,176,2510
QJK,DEVON STP,General Medicine,30,478
QJK,DEVON STP,General Surgery,671,3121
QJK,DEVON STP,Geriatric Medicine,18,136
QJK,DEVON STP,Gynaecology,483,3344
QJK,DEVON STP,Neurology,112,1274
QJK,DEVON STP,Neurosurgery,336,1249
QJK,DEVON STP,Ophthalmology,3204,13789
QJK,DEVON STP,Oral Surgery,264,1536
QJK,DEVON STP,Other,2296,11656
QJK,DEVON STP,Plastic Surgery,291,1256
QJK,DEVON STP,Rheumatology,80,714
QJK,DEVON STP,Thoracic Medicine,57,555
QJK,DEVON STP,Total,16450,73334
QJK,DEVON STP,Trauma & Orthopaedics,6185,17976
QJK,DEVON STP,Urology,919,4349
QJM,LINCOLNSHIRE STP,Cardiology,4,839
QJM,LINCOLNSHIRE STP,Cardiothoracic Surgery,0,2
QJM,LINCOLNSHIRE STP,Dermatology,0,1644
QJM,LINCOLNSHIRE STP,"Ear, Nose & Throat (ENT)",103,2440
QJM,LINCOLNSHIRE STP,Gastroenterology,40,1486
QJM,LINCOLNSHIRE STP,General Medicine,10,177
QJM,LINCOLNSHIRE STP,General Surgery,257,1915
QJM,LINCOLNSHIRE STP,Geriatric Medicine,0,114
QJM,LINCOLNSHIRE STP,Gynaecology,199,1719
QJM,LINCOLNSHIRE STP,Neurology,0,659
QJM,LINCOLNSHIRE STP,Ophthalmology,131,3620
QJM,LINCOLNSHIRE STP,Other,248,4419
QJM,LINCOLNSHIRE STP,Rheumatology,0,715
QJM,LINCOLNSHIRE STP,Thoracic Medicine,21,641
QJM,LINCOLNSHIRE STP,Total,1212,25057
QJM,LINCOLNSHIRE STP,Trauma & Orthopaedics,139,3381
QJM,LINCOLNSHIRE STP,Urology,60,1286
QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Cardiology,19,1538
QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Cardiothoracic Surgery,2,99
QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Dermatology,1,485
QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP","Ear, Nose & Throat (ENT)",1628,5020
QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Gastroenterology,590,4589
QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",General Medicine,4,6
QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",General Surgery,1435,4145
QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Geriatric Medicine,0,14
QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Gynaecology,952,4959
QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Neurology,0,477
QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Neurosurgery,0,8
QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Ophthalmology,616,4285
QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Other,3083,11821
QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Plastic Surgery,391,1223
QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Rheumatology,2,300
QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Thoracic Medicine,6,72
QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Total,12291,50799
QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Trauma & Orthopaedics,2566,8614
QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Urology,996,3144
QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Cardiology,341,3033
QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Cardiothoracic Surgery,2,37
QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Dermatology,20,1483
QKK,OUR HEALTHIER SOUTH EAST LONDON STP,"Ear, Nose & Throat (ENT)",1869,8657
QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Gastroenterology,58,1396
QKK,OUR HEALTHIER SOUTH EAST LONDON STP,General Medicine,5,191
QKK,OUR HEALTHIER SOUTH EAST LONDON STP,General Surgery,2173,6097
QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Geriatric Medicine,3,84
QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Gynaecology,1417,5906
QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Neurology,5,562
QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Neurosurgery,238,1011
QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Ophthalmology,1333,5440
QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Oral Surgery,2207,6973
QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Other,3465,18393
QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Plastic Surgery,526,1517
QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Rheumatology,30,366
QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Thoracic Medicine,8,367
QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Total,15374,70760
QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Trauma & Orthopaedics,1553,6718
QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Urology,121,2529
QKS,KENT AND MEDWAY STP,Cardiology,10,1019
QKS,KENT AND MEDWAY STP,Cardiothoracic Surgery,0,5
QKS,KENT AND MEDWAY STP,Dermatology,265,1854
QKS,KENT AND MEDWAY STP,"Ear, Nose & Throat (ENT)",1587,7628
QKS,KENT AND MEDWAY STP,Gastroenterology,68,2589
QKS,KENT AND MEDWAY STP,General Medicine,3,137
QKS,KENT AND MEDWAY STP,General Surgery,1105,8035
QKS,KENT AND MEDWAY STP,Geriatric Medicine,0,106
QKS,KENT AND MEDWAY STP,Gynaecology,926,6104
QKS,KENT AND MEDWAY STP,Neurology,4,608
QKS,KENT AND MEDWAY STP,Ophthalmology,283,3752
QKS,KENT AND MEDWAY STP,Oral Surgery,34,877
QKS,KENT AND MEDWAY STP,Other,194,4128
QKS,KENT AND MEDWAY STP,Rheumatology,3,821
QKS,KENT AND MEDWAY STP,Thoracic Medicine,8,604
QKS,KENT AND MEDWAY STP,Total,7362,56500
QKS,KENT AND MEDWAY STP,Trauma & Orthopaedics,2387,14281
QKS,KENT AND MEDWAY STP,Urology,485,3952
QM7,HERTFORDSHIRE AND WEST ESSEX STP,Cardiology,13,1068
QM7,HERTFORDSHIRE AND WEST ESSEX STP,Cardiothoracic Surgery,0,6
QM7,HERTFORDSHIRE AND WEST ESSEX STP,Dermatology,31,730
QM7,HERTFORDSHIRE AND WEST ESSEX STP,"Ear, Nose & Throat (ENT)",622,2654
QM7,HERTFORDSHIRE AND WEST ESSEX STP,Gastroenterology,201,2906
QM7,HERTFORDSHIRE AND WEST ESSEX STP,General Medicine,0,132
QM7,HERTFORDSHIRE AND WEST ESSEX STP,General Surgery,338,3048
QM7,HERTFORDSHIRE AND WEST ESSEX STP,Geriatric Medicine,1,104
QM7,HERTFORDSHIRE AND WEST ESSEX STP,Gynaecology,119,1184
QM7,HERTFORDSHIRE AND WEST ESSEX STP,Neurology,11,174
QM7,HERTFORDSHIRE AND WEST ESSEX STP,Neurosurgery,0,6
QM7,HERTFORDSHIRE AND WEST ESSEX STP,Ophthalmology,512,3341
QM7,HERTFORDSHIRE AND WEST ESSEX STP,Oral Surgery,747,2208
QM7,HERTFORDSHIRE AND WEST ESSEX STP,Other,685,5273
QM7,HERTFORDSHIRE AND WEST ESSEX STP,Plastic Surgery,53,613
QM7,HERTFORDSHIRE AND WEST ESSEX STP,Rheumatology,14,432
QM7,HERTFORDSHIRE AND WEST ESSEX STP,Thoracic Medicine,3,640
QM7,HERTFORDSHIRE AND WEST ESSEX STP,Total,5019,32220
QM7,HERTFORDSHIRE AND WEST ESSEX STP,Trauma & Orthopaedics,1308,5619
QM7,HERTFORDSHIRE AND WEST ESSEX STP,Urology,361,2082
QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Cardiology,135,1801
QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Cardiothoracic Surgery,5,190
QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Dermatology,199,2658
QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),"Ear, Nose & Throat (ENT)",1948,7151
QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Gastroenterology,91,2838
QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),General Medicine,0,63
QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),General Surgery,947,5538
QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Geriatric Medicine,6,58
QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Gynaecology,1089,6088
QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Neurology,42,1953
QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Neurosurgery,295,1747
QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Ophthalmology,528,4470
QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Oral Surgery,627,2162
QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Other,6120,23238
QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Plastic Surgery,447,1097
QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Rheumatology,20,316
QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Thoracic Medicine,117,1161
QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Total,15675,80372
QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Trauma & Orthopaedics,2256,12879
QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Urology,803,4964
QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),Cardiology,3,546
QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),Cardiothoracic Surgery,1,2
QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),Dermatology,50,802
QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),"Ear, Nose & Throat (ENT)",705,5013
QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),Gastroenterology,33,712
QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),General Medicine,8,305
QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),General Surgery,351,2166
QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),Geriatric Medicine,0,12
QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),Gynaecology,340,2190
QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),Neurology,38,743
QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),Neurosurgery,22,244
QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),Ophthalmology,146,12325
QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),Oral Surgery,69,770
QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),Other,2453,13929
QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),Plastic Surgery,3,29
QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),Rheumatology,0,207
QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),Thoracic Medicine,1,287
QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),Total,5545,47475
QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),Trauma & Orthopaedics,899,4467
QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),Urology,423,2726
QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),Cardiology,88,1187
QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),Cardiothoracic Surgery,0,0
QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),Dermatology,457,4694
QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),"Ear, Nose & Throat (ENT)",683,4253
QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),Gastroenterology,29,428
QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),General Medicine,10,134
QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),General Surgery,1332,5220
QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),Geriatric Medicine,2,14
QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),Gynaecology,1506,4816
QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),Neurology,22,521
QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),Ophthalmology,1280,7101
QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),Oral Surgery,528,1549
QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),Other,1594,6363
QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),Plastic Surgery,338,1060
QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),Rheumatology,4,174
QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),Thoracic Medicine,9,118
