org_code,name,rtt_type,count_wait_more_18_weeks,count_wait_more_52_weeks,perc_wait_more_18_weeks,perc_wait_more_52_weeks,count_total
ACG08,NEWMEDICA OPHTHALMOLOGY - NUNEATON - CAMP HILL - GP LED HEALTH CENTRE,Incomplete Pathways with DTA,0,0,0,0,8
ACG08,NEWMEDICA OPHTHALMOLOGY - NUNEATON - CAMP HILL - GP LED HEALTH CENTRE,New RTT Periods - All Patients,0,0,0,0,32
ACG09,NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH DERBYSHIRE - BARLBOROUGH TREATMENT CENTRE,Completed Pathways For Admitted Patients,68,0,0.6181818181818182,0,110
ACG09,NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH DERBYSHIRE - BARLBOROUGH TREATMENT CENTRE,Completed Pathways For Non-Admitted Patients,1,0,0.01639344262295082,0,61
ACG09,NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH DERBYSHIRE - BARLBOROUGH TREATMENT CENTRE,Incomplete Pathways,108,0,0.1815126050420168,0,595
ACG09,NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH DERBYSHIRE - BARLBOROUGH TREATMENT CENTRE,Incomplete Pathways with DTA,92,0,0.609271523178808,0,151
ACG09,NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH DERBYSHIRE - BARLBOROUGH TREATMENT CENTRE,New RTT Periods - All Patients,0,0,0,0,133
ACG12,NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH EAST LINCOLNSHIRE - GRIMSBY,Completed Pathways For Admitted Patients,9,0,0.039301310043668124,0,229
ACG12,NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH EAST LINCOLNSHIRE - GRIMSBY,Completed Pathways For Non-Admitted Patients,1,0,0.005847953216374269,0,171
ACG12,NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH EAST LINCOLNSHIRE - GRIMSBY,Incomplete Pathways,18,3,0.023376623376623377,0.003896103896103896,770
ACG12,NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH EAST LINCOLNSHIRE - GRIMSBY,Incomplete Pathways with DTA,6,0,0.030927835051546393,0,194
ACG12,NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH EAST LINCOLNSHIRE - GRIMSBY,New RTT Periods - All Patients,0,0,0,0,333
ACG13,NEWMEDICA COMMUNITY OPHTHALMOLOGY - GLOUCESTERSHIRE - GLOUCESTER (ASPEN CENTRE) (ACG13),Completed Pathways For Admitted Patients,73,0,0.28076923076923077,0,260
ACG13,NEWMEDICA COMMUNITY OPHTHALMOLOGY - GLOUCESTERSHIRE - GLOUCESTER (ASPEN CENTRE) (ACG13),Completed Pathways For Non-Admitted Patients,6,0,0.029556650246305417,0,203
ACG13,NEWMEDICA COMMUNITY OPHTHALMOLOGY - GLOUCESTERSHIRE - GLOUCESTER (ASPEN CENTRE) (ACG13),Incomplete Pathways,108,1,0.20970873786407768,0.001941747572815534,515
ACG13,NEWMEDICA COMMUNITY OPHTHALMOLOGY - GLOUCESTERSHIRE - GLOUCESTER (ASPEN CENTRE) (ACG13),Incomplete Pathways with DTA,61,1,0.3279569892473118,0.005376344086021506,186
ACG13,NEWMEDICA COMMUNITY OPHTHALMOLOGY - GLOUCESTERSHIRE - GLOUCESTER (ASPEN CENTRE) (ACG13),New RTT Periods - All Patients,0,0,0,0,249
ACG19,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEEDS,Completed Pathways For Admitted Patients,11,0,0.061452513966480445,0,179
ACG19,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEEDS,Completed Pathways For Non-Admitted Patients,2,0,0.012048192771084338,0,166
ACG19,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEEDS,Incomplete Pathways,40,8,0.06309148264984227,0.012618296529968454,634
ACG19,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEEDS,Incomplete Pathways with DTA,24,6,0.0967741935483871,0.024193548387096774,248
ACG19,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEEDS,New RTT Periods - All Patients,0,0,0,0,332
ACG20,NEWMEDICA - BRISTOL - LITFIELD HOUSE,Completed Pathways For Admitted Patients,19,0,0.08636363636363636,0,220
ACG20,NEWMEDICA - BRISTOL - LITFIELD HOUSE,Completed Pathways For Non-Admitted Patients,0,0,0,0,118
ACG20,NEWMEDICA - BRISTOL - LITFIELD HOUSE,Incomplete Pathways,111,7,0.0901705930138099,0.005686433793663688,1231
ACG20,NEWMEDICA - BRISTOL - LITFIELD HOUSE,Incomplete Pathways with DTA,102,7,0.17677642980935876,0.012131715771230503,577
ACG20,NEWMEDICA - BRISTOL - LITFIELD HOUSE,New RTT Periods - All Patients,0,0,0,0,395
ACG22,NEWMEDICA - BRIGG - RIVERSIDE SURGERY,Completed Pathways For Non-Admitted Patients,5,0,0.05747126436781609,0,87
ACG22,NEWMEDICA - BRIGG - RIVERSIDE SURGERY,Incomplete Pathways,45,2,0.18,0.008,250
ACG22,NEWMEDICA - BRIGG - RIVERSIDE SURGERY,Incomplete Pathways with DTA,13,1,0.17567567567567569,0.013513513513513514,74
ACG22,NEWMEDICA - BRIGG - RIVERSIDE SURGERY,New RTT Periods - All Patients,0,0,0,0,46
ACG24,NEWMEDICA - TEESSIDE - NORTH ORMESBY,Completed Pathways For Admitted Patients,10,0,0.018214936247723135,0,549
ACG24,NEWMEDICA - TEESSIDE - NORTH ORMESBY,Completed Pathways For Non-Admitted Patients,7,0,0.0603448275862069,0,116
ACG24,NEWMEDICA - TEESSIDE - NORTH ORMESBY,Incomplete Pathways,37,0,0.0418552036199095,0,884
ACG24,NEWMEDICA - TEESSIDE - NORTH ORMESBY,Incomplete Pathways with DTA,15,0,0.12,0,125
ACG24,NEWMEDICA - TEESSIDE - NORTH ORMESBY,New RTT Periods - All Patients,0,0,0,0,757
ACG30,NEWMEDICA - WORKSOP - DUKERIES,Completed Pathways For Non-Admitted Patients,1,0,0.034482758620689655,0,29
ACG30,NEWMEDICA - WORKSOP - DUKERIES,Incomplete Pathways,1,0,0.023809523809523808,0,42
ACG30,NEWMEDICA - WORKSOP - DUKERIES,New RTT Periods - All Patients,0,0,0,0,34
ACG31,NEWMEDICA - WORCESTER,Incomplete Pathways,0,0,0,0,1
ACG36,NEWMEDICA - EXETER - GLEN HOUSE,Completed Pathways For Admitted Patients,2,0,0.015625,0,128
ACG36,NEWMEDICA - EXETER - GLEN HOUSE,Completed Pathways For Non-Admitted Patients,0,0,0,0,43
ACG36,NEWMEDICA - EXETER - GLEN HOUSE,Incomplete Pathways,7,0,0.01715686274509804,0,408
ACG36,NEWMEDICA - EXETER - GLEN HOUSE,Incomplete Pathways with DTA,5,0,0.021551724137931036,0,232
ACG36,NEWMEDICA - EXETER - GLEN HOUSE,New RTT Periods - All Patients,0,0,0,0,263
ACG37,NEWMEDICA - IPSWICH,Completed Pathways For Admitted Patients,9,0,0.04918032786885246,0,183
ACG37,NEWMEDICA - IPSWICH,Completed Pathways For Non-Admitted Patients,0,0,0,0,44
ACG37,NEWMEDICA - IPSWICH,Incomplete Pathways,22,0,0.05365853658536585,0,410
ACG37,NEWMEDICA - IPSWICH,Incomplete Pathways with DTA,21,0,0.1111111111111111,0,189
ACG37,NEWMEDICA - IPSWICH,New RTT Periods - All Patients,0,0,0,0,205
ACG38,NEWMEDICA - LANGFORD,Completed Pathways For Non-Admitted Patients,0,0,0,0,93
ACG38,NEWMEDICA - LANGFORD,Incomplete Pathways,2,0,0.012345679012345678,0,162
ACG38,NEWMEDICA - LANGFORD,New RTT Periods - All Patients,0,0,0,0,148
ACG39,NEWMEDICA - SWINDON,Completed Pathways For Non-Admitted Patients,4,0,0.046511627906976744,0,86
ACG39,NEWMEDICA - SWINDON,Incomplete Pathways,3,0,0.03125,0,96
ACG39,NEWMEDICA - SWINDON,New RTT Periods - All Patients,0,0,0,0,89
ACG40,NEWMEDICA - WAKEFIELD,Completed Pathways For Admitted Patients,0,0,0,0,10
ACG40,NEWMEDICA - WAKEFIELD,Completed Pathways For Non-Admitted Patients,0,0,0,0,54
ACG40,NEWMEDICA - WAKEFIELD,Incomplete Pathways,0,0,0,0,72
ACG40,NEWMEDICA - WAKEFIELD,Incomplete Pathways with DTA,0,0,0,0,17
ACG40,NEWMEDICA - WAKEFIELD,New RTT Periods - All Patients,0,0,0,0,96
ACG41,NEWMEDICA - FROME,Completed Pathways For Admitted Patients,2,0,0.08333333333333333,0,24
ACG41,NEWMEDICA - FROME,Completed Pathways For Non-Admitted Patients,0,0,0,0,5
ACG41,NEWMEDICA - FROME,Incomplete Pathways,1,0,0.013333333333333334,0,75
ACG41,NEWMEDICA - FROME,Incomplete Pathways with DTA,1,0,0.02564102564102564,0,39
ACG41,NEWMEDICA - FROME,New RTT Periods - All Patients,0,0,0,0,56
ACM,EYE CARE MEDICAL LTD,Completed Pathways For Non-Admitted Patients,0,0,0,0,22
ACM,EYE CARE MEDICAL LTD,Incomplete Pathways,0,0,0,0,5
ACM,EYE CARE MEDICAL LTD,New RTT Periods - All Patients,0,0,0,0,21
ADN,PRIMARY INTEGRATED COMMUNITY SERVICES LTD,Completed Pathways For Non-Admitted Patients,43,4,0.07401032702237521,0.0068846815834767644,581
ADN,PRIMARY INTEGRATED COMMUNITY SERVICES LTD,Incomplete Pathways,613,66,0.28779342723004697,0.030985915492957747,2130
ADN,PRIMARY INTEGRATED COMMUNITY SERVICES LTD,New RTT Periods - All Patients,0,0,0,0,755
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Completed Pathways For Admitted Patients,30,0,0.2803738317757009,0,107
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Completed Pathways For Non-Admitted Patients,106,0,0.33650793650793653,0,315
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Incomplete Pathways,296,0,0.2848893166506256,0,1039
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Incomplete Pathways with DTA,192,0,0.33217993079584773,0,578
ADP02,KIMS HOSPITAL (NEWNHAM COURT),New RTT Periods - All Patients,0,0,0,0,67
AHP,ST MICHAEL'S CLINIC LIMITED,Completed Pathways For Non-Admitted Patients,92,3,0.2402088772845953,0.007832898172323759,383
AHP,ST MICHAEL'S CLINIC LIMITED,Incomplete Pathways,203,8,0.23468208092485549,0.009248554913294798,865
AHP,ST MICHAEL'S CLINIC LIMITED,New RTT Periods - All Patients,0,0,0,0,286
AJ8,THE GRANGE MEDICAL CENTRE HQ,Completed Pathways For Non-Admitted Patients,0,0,0,0,75
AJ8,THE GRANGE MEDICAL CENTRE HQ,Incomplete Pathways,0,0,0,0,151
AJ8,THE GRANGE MEDICAL CENTRE HQ,New RTT Periods - All Patients,0,0,0,0,66
AJX,SUSSEX MSK PARTNERSHIP 2,Completed Pathways For Admitted Patients,40,6,0.31007751937984496,0.046511627906976744,129
AJX,SUSSEX MSK PARTNERSHIP 2,Completed Pathways For Non-Admitted Patients,534,23,0.3550531914893617,0.015292553191489361,1504
AJX,SUSSEX MSK PARTNERSHIP 2,Incomplete Pathways,2447,378,0.3219313248256808,0.04973029864491514,7601
AJX,SUSSEX MSK PARTNERSHIP 2,Incomplete Pathways with DTA,513,126,0.5250767656090072,0.12896622313203684,977
AJX,SUSSEX MSK PARTNERSHIP 2,New RTT Periods - All Patients,0,0,0,0,1516
AP201,EAST SUSSEX OUTPATIENT SERVICES (ESOPS),Completed Pathways For Non-Admitted Patients,35,10,0.35714285714285715,0.10204081632653061,98
AP201,EAST SUSSEX OUTPATIENT SERVICES (ESOPS),Incomplete Pathways,531,212,0.6291469194312796,0.25118483412322273,844
AP201,EAST SUSSEX OUTPATIENT SERVICES (ESOPS),New RTT Periods - All Patients,0,0,0,0,65
AQK,VERNOVA HEALTHCARE COMMUNITY INTEREST COMPANY,Completed Pathways For Non-Admitted Patients,29,0,0.07213930348258707,0,402
AQK,VERNOVA HEALTHCARE COMMUNITY INTEREST COMPANY,Incomplete Pathways,61,0,0.15601023017902813,0,391
AQK,VERNOVA HEALTHCARE COMMUNITY INTEREST COMPANY,New RTT Periods - All Patients,0,0,0,0,304
AXG,WILTSHIRE HEALTH & CARE,Completed Pathways For Non-Admitted Patients,0,0,0,0,637
AXG,WILTSHIRE HEALTH & CARE,Incomplete Pathways,0,0,0,0,638
AXG,WILTSHIRE HEALTH & CARE,New RTT Periods - All Patients,0,0,0,0,536
DFQ,NORWICH & NORFOLK SURGICAL LTD (N2S),Completed Pathways For Admitted Patients,27,0,0.11020408163265306,0,245
DFQ,NORWICH & NORFOLK SURGICAL LTD (N2S),Completed Pathways For Non-Admitted Patients,9,0,0.10227272727272728,0,88
DFQ,NORWICH & NORFOLK SURGICAL LTD (N2S),Incomplete Pathways,93,0,0.12301587301587301,0,756
DFQ,NORWICH & NORFOLK SURGICAL LTD (N2S),Incomplete Pathways with DTA,56,0,0.22764227642276422,0,246
DFQ,NORWICH & NORFOLK SURGICAL LTD (N2S),New RTT Periods - All Patients,0,0,0,0,212
DFY,COTSWOLDS SURGICAL PARTNERS LLP,Completed Pathways For Non-Admitted Patients,2,0,0.02531645569620253,0,79
DFY,COTSWOLDS SURGICAL PARTNERS LLP,Incomplete Pathways,7,1,0.05223880597014925,0.007462686567164179,134
DFY,COTSWOLDS SURGICAL PARTNERS LLP,New RTT Periods - All Patients,0,0,0,0,53
DTT,PHOENIX PUBLIC HEALTH LTD,Completed Pathways For Admitted Patients,10,2,1,0.2,10
DTT,PHOENIX PUBLIC HEALTH LTD,Incomplete Pathways,77,4,0.55,0.02857142857142857,140
DTT,PHOENIX PUBLIC HEALTH LTD,New RTT Periods - All Patients,0,0,0,0,16
DX1,THE NEW FOSCOTE HOSPITAL LTD,Completed Pathways For Admitted Patients,0,0,0,0,5
DX1,THE NEW FOSCOTE HOSPITAL LTD,Incomplete Pathways,15,7,0.15463917525773196,0.07216494845360824,97
DX1,THE NEW FOSCOTE HOSPITAL LTD,Incomplete Pathways with DTA,5,3,1,0.6,5
DX1,THE NEW FOSCOTE HOSPITAL LTD,New RTT Periods - All Patients,0,0,0,0,72
GEC01,WESSEX RAPID DIAGNOSTIC SERVICE (SOUTHERN HOUSE),Completed Pathways For Non-Admitted Patients,0,0,0,0,33
GEC01,WESSEX RAPID DIAGNOSTIC SERVICE (SOUTHERN HOUSE),Incomplete Pathways,0,0,0,0,21
GEC01,WESSEX RAPID DIAGNOSTIC SERVICE (SOUTHERN HOUSE),New RTT Periods - All Patients,0,0,0,0,30
L0D9W,NEWMEDICA - GLOUCESTER (BRIGHOUSE COURT),Incomplete Pathways,44,1,0.10377358490566038,0.0023584905660377358,424
L0D9W,NEWMEDICA - GLOUCESTER (BRIGHOUSE COURT),Incomplete Pathways with DTA,43,1,0.11197916666666667,0.0026041666666666665,384
L0D9W,NEWMEDICA - GLOUCESTER (BRIGHOUSE COURT),New RTT Periods - All Patients,0,0,0,0,141
NAM01,PROBUS SURGICAL CENTRE,Completed Pathways For Admitted Patients,31,4,0.1781609195402299,0.022988505747126436,174
NAM01,PROBUS SURGICAL CENTRE,Completed Pathways For Non-Admitted Patients,8,0,0.18604651162790697,0,43
NAM01,PROBUS SURGICAL CENTRE,Incomplete Pathways,156,40,0.1776765375854214,0.04555808656036447,878
NAM01,PROBUS SURGICAL CENTRE,Incomplete Pathways with DTA,101,21,0.3594306049822064,0.07473309608540925,281
NAM01,PROBUS SURGICAL CENTRE,New RTT Periods - All Patients,0,0,0,0,208
NCN,DMC COMMUNITY OUTPATIENT SERVICES,Completed Pathways For Non-Admitted Patients,0,0,0,0,249
NCN,DMC COMMUNITY OUTPATIENT SERVICES,Incomplete Pathways,1,0,0.009433962264150943,0,106
NCN,DMC COMMUNITY OUTPATIENT SERVICES,New RTT Periods - All Patients,0,0,0,0,280
NCR,ISIGHT,Completed Pathways For Admitted Patients,14,1,0.14285714285714285,0.01020408163265306,98
NCR,ISIGHT,Completed Pathways For Non-Admitted Patients,7,0,0.14893617021276595,0,47
NCR,ISIGHT,Incomplete Pathways,25,0,0.05319148936170213,0,470
NCR,ISIGHT,Incomplete Pathways with DTA,17,0,0.1111111111111111,0,153
NCR,ISIGHT,New RTT Periods - All Patients,0,0,0,0,162
NDJ,FIRST COMMUNITY HEALTH AND CARE CIC,Completed Pathways For Non-Admitted Patients,11,0,0.022964509394572025,0,479
NDJ,FIRST COMMUNITY HEALTH AND CARE CIC,Incomplete Pathways,13,0,0.028017241379310345,0,464
NDJ,FIRST COMMUNITY HEALTH AND CARE CIC,New RTT Periods - All Patients,0,0,0,0,320
NDL01,SUFFOLK GP FEDERATION - WOODBRIDGE,Completed Pathways For Non-Admitted Patients,0,0,0,0,266
NDL01,SUFFOLK GP FEDERATION - WOODBRIDGE,Incomplete Pathways,2,0,0.012658227848101266,0,158
NDL01,SUFFOLK GP FEDERATION - WOODBRIDGE,New RTT Periods - All Patients,0,0,0,0,260
NEJ01,HAND TO ELBOW CLINIC (BATH),Completed Pathways For Non-Admitted Patients,0,0,0,0,6
NEJ01,HAND TO ELBOW CLINIC (BATH),Incomplete Pathways,5,0,0.29411764705882354,0,17
NEJ01,HAND TO ELBOW CLINIC (BATH),New RTT Periods - All Patients,0,0,0,0,4
NEQ,PHOENIX HEALTH SOLUTIONS LIMITED HQ,Completed Pathways For Admitted Patients,2,0,0.010101010101010102,0,198
NEQ,PHOENIX HEALTH SOLUTIONS LIMITED HQ,Completed Pathways For Non-Admitted Patients,0,0,0,0,309
NEQ,PHOENIX HEALTH SOLUTIONS LIMITED HQ,Incomplete Pathways,8,2,0.017937219730941704,0.004484304932735426,446
NEQ,PHOENIX HEALTH SOLUTIONS LIMITED HQ,Incomplete Pathways with DTA,5,0,0.030120481927710843,0,166
NEQ,PHOENIX HEALTH SOLUTIONS LIMITED HQ,New RTT Periods - All Patients,0,0,0,0,372
NEY,PIONEER HEALTHCARE LIMITED,Completed Pathways For Admitted Patients,21,2,0.84,0.08,25
NEY,PIONEER HEALTHCARE LIMITED,Completed Pathways For Non-Admitted Patients,8,1,0.19047619047619047,0.023809523809523808,42
NEY,PIONEER HEALTHCARE LIMITED,Incomplete Pathways,199,34,0.6180124223602484,0.10559006211180125,322
NEY,PIONEER HEALTHCARE LIMITED,Incomplete Pathways with DTA,81,21,0.7941176470588235,0.20588235294117646,102
NEY,PIONEER HEALTHCARE LIMITED,New RTT Periods - All Patients,0,0,0,0,24
NFH,SOMERSET SURGICAL SERVICES HQ,Completed Pathways For Admitted Patients,101,43,0.9351851851851852,0.39814814814814814,108
NFH,SOMERSET SURGICAL SERVICES HQ,Completed Pathways For Non-Admitted Patients,21,7,0.3333333333333333,0.1111111111111111,63
NFH,SOMERSET SURGICAL SERVICES HQ,Incomplete Pathways,460,200,0.672514619883041,0.29239766081871343,684
NFH,SOMERSET SURGICAL SERVICES HQ,Incomplete Pathways with DTA,396,163,0.688695652173913,0.28347826086956524,575
NFH,SOMERSET SURGICAL SERVICES HQ,New RTT Periods - All Patients,0,0,0,0,77
NL8,LOCALA COMMUNITY PARTNERSHIPS CIC,Completed Pathways For Non-Admitted Patients,98,7,0.3277591973244147,0.023411371237458192,299
NL8,LOCALA COMMUNITY PARTNERSHIPS CIC,Incomplete Pathways,185,15,0.12341561040693796,0.01000667111407605,1499
NL8,LOCALA COMMUNITY PARTNERSHIPS CIC,Incomplete Pathways with DTA,10,5,1,0.5,10
NL8,LOCALA COMMUNITY PARTNERSHIPS CIC,New RTT Periods - All Patients,0,0,0,0,483
NLE01,LANCASTER HOUSE CONSULTING DIAGNOSTICS SURGICAL LTD HQ,Completed Pathways For Admitted Patients,7,0,0.875,0,8
NLE01,LANCASTER HOUSE CONSULTING DIAGNOSTICS SURGICAL LTD HQ,Completed Pathways For Non-Admitted Patients,74,0,0.07781282860147214,0,951
NLE01,LANCASTER HOUSE CONSULTING DIAGNOSTICS SURGICAL LTD HQ,Incomplete Pathways,23,0,0.1678832116788321,0,137
NLE01,LANCASTER HOUSE CONSULTING DIAGNOSTICS SURGICAL LTD HQ,Incomplete Pathways with DTA,8,0,1,0,8
NLE01,LANCASTER HOUSE CONSULTING DIAGNOSTICS SURGICAL LTD HQ,New RTT Periods - All Patients,0,0,0,0,391
NLF06,OLDHAM INTEGRATED CARE CENTRE,Completed Pathways For Non-Admitted Patients,30,0,0.02654867256637168,0,1130
NLF06,OLDHAM INTEGRATED CARE CENTRE,Incomplete Pathways,60,3,0.04013377926421405,0.002006688963210702,1495
NLF06,OLDHAM INTEGRATED CARE CENTRE,New RTT Periods - All Patients,0,0,0,0,1090
NLX,SIRONA CARE & HEALTH,Completed Pathways For Non-Admitted Patients,28,2,0.09180327868852459,0.006557377049180328,305
NLX,SIRONA CARE & HEALTH,Incomplete Pathways,136,18,0.1021021021021021,0.013513513513513514,1332
NLX,SIRONA CARE & HEALTH,New RTT Periods - All Patients,0,0,0,0,816
NMG,CONNECT HEALTH LIMITED,Completed Pathways For Non-Admitted Patients,68,1,0.011482607227288078,1.6886187098953058e-4,5922
NMG,CONNECT HEALTH LIMITED,Incomplete Pathways,86,0,0.024404086265607264,0,3524
NMG,CONNECT HEALTH LIMITED,New RTT Periods - All Patients,0,0,0,0,5164
NN4,TYNESIDE SURGICAL SERVICES LTD,Completed Pathways For Admitted Patients,48,15,0.3380281690140845,0.1056338028169014,142
NN4,TYNESIDE SURGICAL SERVICES LTD,Completed Pathways For Non-Admitted Patients,14,4,0.12962962962962962,0.037037037037037035,108
NN4,TYNESIDE SURGICAL SERVICES LTD,Incomplete Pathways,264,119,0.42857142857142855,0.19318181818181818,616
NN4,TYNESIDE SURGICAL SERVICES LTD,Incomplete Pathways with DTA,180,96,0.6206896551724138,0.3310344827586207,290
NN4,TYNESIDE SURGICAL SERVICES LTD,New RTT Periods - All Patients,0,0,0,0,160
NN5,MANCHESTER SURGICAL SERVICES LTD,Completed Pathways For Admitted Patients,4,0,0.25,0,16
NN5,MANCHESTER SURGICAL SERVICES LTD,Completed Pathways For Non-Admitted Patients,13,0,0.29545454545454547,0,44
NN5,MANCHESTER SURGICAL SERVICES LTD,Incomplete Pathways,156,1,0.5531914893617021,0.0035460992907801418,282
NN5,MANCHESTER SURGICAL SERVICES LTD,Incomplete Pathways with DTA,103,1,0.9279279279279279,0.009009009009009009,111
NN5,MANCHESTER SURGICAL SERVICES LTD,New RTT Periods - All Patients,0,0,0,0,40
NN8,SPENCER PRIVATE HOSPITALS LTD,Completed Pathways For Admitted Patients,1,0,0.5,0,2
NN8,SPENCER PRIVATE HOSPITALS LTD,Completed Pathways For Non-Admitted Patients,44,6,0.13253012048192772,0.018072289156626505,332
NN8,SPENCER PRIVATE HOSPITALS LTD,Incomplete Pathways,743,130,0.5407569141193596,0.09461426491994178,1374
NN8,SPENCER PRIVATE HOSPITALS LTD,Incomplete Pathways with DTA,519,112,0.7351274787535411,0.15864022662889518,706
NN8,SPENCER PRIVATE HOSPITALS LTD,New RTT Periods - All Patients,0,0,0,0,291
NNE,DORKING HEALTHCARE LIMITED (DHC),Completed Pathways For Admitted Patients,12,3,0.75,0.1875,16
NNE,DORKING HEALTHCARE LIMITED (DHC),Completed Pathways For Non-Admitted Patients,75,2,0.09293680297397769,0.0024783147459727386,807
NNE,DORKING HEALTHCARE LIMITED (DHC),Incomplete Pathways,174,12,0.07271207689093188,0.005014625992478061,2393
NNE,DORKING HEALTHCARE LIMITED (DHC),Incomplete Pathways with DTA,55,4,0.32934131736526945,0.023952095808383235,167
NNE,DORKING HEALTHCARE LIMITED (DHC),New RTT Periods - All Patients,0,0,0,0,912
NNF,CITY HEALTH CARE PARTNERSHIP CIC,Completed Pathways For Non-Admitted Patients,3,0,0.010238907849829351,0,293
NNF,CITY HEALTH CARE PARTNERSHIP CIC,Incomplete Pathways,1,0,0.002544529262086514,0,393
NNF,CITY HEALTH CARE PARTNERSHIP CIC,New RTT Periods - All Patients,0,0,0,0,410
NPG01,SPAMEDICA (MANCHESTER),Completed Pathways For Admitted Patients,18,1,0.06691449814126393,0.0037174721189591076,269
NPG01,SPAMEDICA (MANCHESTER),Completed Pathways For Non-Admitted Patients,6,0,0.11764705882352941,0,51
NPG01,SPAMEDICA (MANCHESTER),Incomplete Pathways,28,0,0.041604754829123326,0,673
NPG01,SPAMEDICA (MANCHESTER),Incomplete Pathways with DTA,19,0,0.03815261044176707,0,498
NPG01,SPAMEDICA (MANCHESTER),New RTT Periods - All Patients,0,0,0,0,355
NPG02,SPAMEDICA (WIRRAL),Completed Pathways For Admitted Patients,21,0,0.0995260663507109,0,211
NPG02,SPAMEDICA (WIRRAL),Completed Pathways For Non-Admitted Patients,4,0,0.14814814814814814,0,27
NPG02,SPAMEDICA (WIRRAL),Incomplete Pathways,29,3,0.04931972789115646,0.00510204081632653,588
NPG02,SPAMEDICA (WIRRAL),Incomplete Pathways with DTA,19,1,0.06597222222222222,0.003472222222222222,288
NPG02,SPAMEDICA (WIRRAL),New RTT Periods - All Patients,0,0,0,0,260
