org_code,standard,total_treated,within_standard,breaches
RA2,31 Days Sub (Surgery),22,21,1
RA2,62 Days,144,121,23
RA2,62 Days (Screening),4,2.5,1.5
RA2,62 Days (Upgrade),1,0.5,0.5
RA4,2 week wait,283,268,15
RA4,2WW Breast,14,13,1
RA4,31 Days,102,102,0
RA4,31 Days Sub (Drugs),14,14,0
RA4,31 Days Sub (Radio),1,1,0
RA4,31 Days Sub (Surgery),14,13,1
RA4,62 Days,77,57,20
RA4,62 Days (Upgrade),17.5,16,1.5
RA7,2 week wait,724,654,70
RA7,31 Days,440,416,24
RA7,31 Days Sub (Drugs),56,56,0
RA7,31 Days Sub (Radio),151,148,3
RA7,31 Days Sub (Surgery),54,45,9
RA7,62 Days,210,160,50
RA7,62 Days (Screening),1,1,0
RA7,62 Days (Upgrade),46.5,37,9.5
RA9,2 week wait,556,452,104
RA9,2WW Breast,24,23,1
RA9,31 Days,344,336,8
RA9,31 Days Sub (Drugs),53,53,0
RA9,31 Days Sub (Radio),43,40,3
RA9,31 Days Sub (Surgery),29,28,1
RA9,62 Days,199,144,55
RA9,62 Days (Screening),15,11,4
RA9,62 Days (Upgrade),2,1,1
RAE,2 week wait,681,601,80
RAE,2WW Breast,1,1,0
RAE,31 Days,204,192,12
RAE,31 Days Sub (Drugs),32,31,1
RAE,31 Days Sub (Surgery),38,31,7
RAE,62 Days,135,109,26
RAE,62 Days (Screening),20,14.5,5.5
RAE,62 Days (Upgrade),7.5,5.5,2
RAJ,2 week wait,1638,1429,209
RAJ,2WW Breast,23,12,11
RAJ,31 Days,696,668,28
RAJ,31 Days Sub (Drugs),146,141,5
RAJ,31 Days Sub (Radio),111,108,3
RAJ,31 Days Sub (Surgery),95,83,12
RAJ,62 Days,409,291,118
RAJ,62 Days (Screening),11.5,9,2.5
RAJ,62 Days (Upgrade),20.5,14.5,6
RAL,2 week wait,1292,1176,116
RAL,2WW Breast,29,23,6
RAL,31 Days,282,278,4
RAL,31 Days Sub (Drugs),25,25,0
RAL,31 Days Sub (Radio),25,24,1
RAL,31 Days Sub (Surgery),25,23,2
RAL,62 Days,178,132,46
RAL,62 Days (Screening),27,23.5,3.5
RAL,62 Days (Upgrade),39,34,5
RAN,2 week wait,118,115,3
RAN,31 Days,34,34,0
RAN,31 Days Sub (Surgery),23,21,2
RAN,62 Days,11,10,1
RAN,62 Days (Upgrade),6.5,6.5,0
RAP,2 week wait,340,227,113
RAP,2WW Breast,5,3,2
RAP,31 Days,134,128,6
RAP,31 Days Sub (Radio),17,16,1
RAP,31 Days Sub (Surgery),1,1,0
RAP,62 Days,70,38,32
RAP,62 Days (Upgrade),28.5,23,5.5
RAS,2 week wait,322,237,85
RAS,2WW Breast,15,13,2
RAS,31 Days,88,88,0
RAS,31 Days Sub (Drugs),3,3,0
RAS,31 Days Sub (Surgery),2,2,0
RAS,62 Days,59,34,25
RAS,62 Days (Upgrade),21,20,1
RAX,2 week wait,502,494,8
RAX,2WW Breast,19,19,0
RAX,31 Days,192,190,2
RAX,31 Days Sub (Drugs),3,3,0
RAX,31 Days Sub (Surgery),18,18,0
RAX,62 Days,143,134,9
RAX,62 Days (Screening),3,3,0
RAX,62 Days (Upgrade),4,3,1
RBD,2 week wait,419,344,75
RBD,2WW Breast,12,12,0
RBD,31 Days,162,158,4
RBD,31 Days Sub (Drugs),26,25,1
RBD,31 Days Sub (Surgery),9,8,1
RBD,62 Days,85,59,26
RBD,62 Days (Screening),8,5,3
RBD,62 Days (Upgrade),6,5.5,0.5
RBK,2 week wait,344,324,20
RBK,2WW Breast,15,13,2
RBK,31 Days,134,134,0
RBK,31 Days Sub (Drugs),13,13,0
RBK,31 Days Sub (Surgery),12,11,1
RBK,62 Days,82,61,21
RBK,62 Days (Screening),3,3,0
RBK,62 Days (Upgrade),27,23.5,3.5
RBL,2 week wait,701,496,205
RBL,31 Days,256,256,0
RBL,31 Days Sub (Drugs),20,20,0
RBL,31 Days Sub (Surgery),10,10,0
RBL,62 Days,145,127,18
RBL,62 Days (Screening),8.5,8,0.5
RBL,62 Days (Upgrade),5,5,0
RBN,2 week wait,497,439,58
RBN,2WW Breast,47,38,9
RBN,31 Days,330,320,10
RBN,31 Days Sub (Drugs),5,5,0
RBN,31 Days Sub (Surgery),80,75,5
RBN,62 Days,161,131,30
RBN,62 Days (Screening),3,3,0
RBN,62 Days (Upgrade),17,15,2
RBQ,2 week wait,7,7,0
RBQ,31 Days,70,70,0
RBQ,31 Days Sub (Surgery),2,2,0
RBQ,62 Days,34,32,2
RBQ,62 Days (Upgrade),4.5,2.5,2
RBS,2 week wait,8,8,0
RBS,31 Days,14,14,0
RBS,31 Days Sub (Drugs),2,2,0
RBS,31 Days Sub (Surgery),1,1,0
RBT,2 week wait,478,426,52
RBT,2WW Breast,16,16,0
RBT,31 Days,162,158,4
RBT,31 Days Sub (Surgery),2,2,0
RBT,62 Days,121,90,31
RBT,62 Days (Screening),13,13,0
RBT,62 Days (Upgrade),17.5,11.5,6
RBV,31 Days,550,522,28
RBV,31 Days Sub (Drugs),169,169,0
RBV,31 Days Sub (Radio),402,398,4
RBV,31 Days Sub (Surgery),77,74,3
RBV,62 Days,135,100,35
RBV,62 Days (Screening),1,1,0
RBV,62 Days (Upgrade),43,31,12
RBZ,2 week wait,190,182,8
RBZ,2WW Breast,9,7,2
RBZ,31 Days,108,106,2
RBZ,31 Days Sub (Drugs),9,9,0
RBZ,31 Days Sub (Surgery),13,13,0
RBZ,62 Days,58,51,7
RBZ,62 Days (Screening),1,1,0
RBZ,62 Days (Upgrade),17.5,12.5,5
RC9,2 week wait,570,504,66
RC9,2WW Breast,11,7,4
RC9,31 Days,332,328,4
RC9,31 Days Sub (Drugs),19,19,0
RC9,31 Days Sub (Surgery),42,41,1
RC9,62 Days,202,149,53
RC9,62 Days (Screening),23,22,1
RC9,62 Days (Upgrade),3,3,0
RCB,2 week wait,634,542,92
RCB,2WW Breast,22,20,2
RCB,31 Days,432,426,6
RCB,31 Days Sub (Drugs),55,55,0
RCB,31 Days Sub (Surgery),45,34,11
RCB,62 Days,221,166,55
RCB,62 Days (Screening),21,21,0
RCB,62 Days (Upgrade),2,2,0
RCD,2 week wait,369,343,26
RCD,2WW Breast,22,22,0
RCD,31 Days,144,144,0
RCD,31 Days Sub (Drugs),21,21,0
RCD,31 Days Sub (Surgery),12,10,2
RCD,62 Days,88,79,9
RCD,62 Days (Screening),4,2,2
RCD,62 Days (Upgrade),18.5,16,2.5
RCF,2 week wait,220,187,33
RCF,2WW Breast,23,20,3
RCF,31 Days,136,136,0
RCF,31 Days Sub (Drugs),21,21,0
RCF,31 Days Sub (Surgery),5,5,0
RCF,62 Days,84,84,0
RCF,62 Days (Screening),1.5,1.5,0
RCF,62 Days (Upgrade),3,2,1
RCU,2 week wait,7,7,0
RCU,31 Days,6,6,0
RCU,31 Days Sub (Drugs),3,3,0
RCU,62 Days (Upgrade),0.5,0.5,0
RCX,2 week wait,252,236,16
RCX,2WW Breast,9,9,0
RCX,31 Days,130,126,4
RCX,31 Days Sub (Drugs),35,35,0
RCX,31 Days Sub (Surgery),10,10,0
RCX,62 Days,67,51,16
RCX,62 Days (Screening),6,6,0
RCX,62 Days (Upgrade),3,2.5,0.5
RD1,2 week wait,712,557,155
RD1,2WW Breast,2,1,1
RD1,31 Days,268,260,8
RD1,31 Days Sub (Drugs),10,10,0
RD1,31 Days Sub (Radio),60,60,0
RD1,31 Days Sub (Surgery),22,22,0
RD1,62 Days,193,166,27
RD1,62 Days (Screening),4,3,1
RD1,62 Days (Upgrade),2.5,2,0.5
RD3,2 week wait,409,369,40
RD3,2WW Breast,1,1,0
RD3,31 Days,248,240,8
RD3,31 Days Sub (Drugs),43,43,0
RD3,31 Days Sub (Radio),132,129,3
RD3,31 Days Sub (Surgery),28,25,3
RD3,62 Days,121,93,28
RD3,62 Days (Screening),16,16,0
RD3,62 Days (Upgrade),13,12,1
RD8,2 week wait,422,368,54
RD8,2WW Breast,6,5,1
RD8,31 Days,178,172,6
RD8,31 Days Sub (Drugs),34,33,1
RD8,31 Days Sub (Radio),1,1,0
RD8,31 Days Sub (Surgery),15,15,0
RD8,62 Days,108,80,28
RD8,62 Days (Screening),13,8,5
RD8,62 Days (Upgrade),0.5,0.5,0
RDE,2 week wait,1274,1155,119
RDE,2WW Breast,41,33,8
RDE,31 Days,602,530,72
RDE,31 Days Sub (Drugs),84,80,4
RDE,31 Days Sub (Radio),105,97,8
RDE,31 Days Sub (Surgery),39,32,7
RDE,62 Days,388,303,85
RDE,62 Days (Screening),23.5,19,4.5
RDE,62 Days (Upgrade),64,49,15
RDU,2 week wait,819,784,35
RDU,2WW Breast,8,7,1
RDU,31 Days,470,468,2
RDU,31 Days Sub (Drugs),38,37,1
RDU,31 Days Sub (Surgery),48,47,1
RDU,62 Days,244,217,27
RDU,62 Days (Screening),24,24,0
RDU,62 Days (Upgrade),5,5,0
RDZ,2 week wait,487,343,144
RDZ,2WW Breast,30,23,7
RDZ,31 Days,332,326,6
RDZ,31 Days Sub (Drugs),42,42,0
RDZ,31 Days Sub (Surgery),35,35,0
RDZ,62 Days,175,147,28
RDZ,62 Days (Screening),5,3,2
RDZ,62 Days (Upgrade),4,4,0
REF,2 week wait,735,710,25
REF,2WW Breast,53,41,12
REF,31 Days,438,426,12
REF,31 Days Sub (Drugs),70,70,0
REF,31 Days Sub (Radio),76,76,0
REF,31 Days Sub (Surgery),55,51,4
REF,62 Days,227,180,47
REF,62 Days (Screening),23,19,4
REF,62 Days (Upgrade),1,1,0
REM,2 week wait,945,882,63
REM,2WW Breast,96,93,3
REM,31 Days,312,298,14
REM,31 Days Sub (Drugs),28,27,1
REM,31 Days Sub (Surgery),18,16,2
REM,62 Days,190,125,65
REM,62 Days (Screening),18.5,15,3.5
REM,62 Days (Upgrade),38,34.5,3.5
REN,2 week wait,7,4,3
REN,31 Days,392,386,6
REN,31 Days Sub (Drugs),111,110,1
REN,31 Days Sub (Radio),304,302,2
REN,62 Days,98,82,16
REN,62 Days (Screening),2,2,0
REN,62 Days (Upgrade),22,19,3
REP,2 week wait,115,111,4
REP,31 Days,58,52,6
REP,31 Days Sub (Drugs),1,1,0
REP,31 Days Sub (Surgery),11,9,2
REP,62 Days,20,13,7
REP,62 Days (Screening),1,1,0
REP,62 Days (Upgrade),9.5,4,5.5
RET,2 week wait,3,3,0
RET,31 Days,10,10,0
RET,31 Days Sub (Surgery),3,3,0
RF4,2 week wait,687,413,274
RF4,2WW Breast,5,0,5
RF4,31 Days,234,210,24
RF4,31 Days Sub (Drugs),32,32,0
RF4,31 Days Sub (Radio),62,58,4
RF4,31 Days Sub (Surgery),18,16,2
RF4,62 Days,153,89,64
RF4,62 Days (Screening),5.5,3,2.5
RF4,62 Days (Upgrade),25.5,19,6.5
RFF,2 week wait,467,433,34
RFF,2WW Breast,17,16,1
RFF,31 Days,136,136,0
RFF,31 Days Sub (Drugs),3,3,0
RFF,62 Days,72,61,11
RFF,62 Days (Screening),2,1,1
RFF,62 Days (Upgrade),8.5,8,0.5
RFR,2 week wait,403,275,128
RFR,2WW Breast,41,33,8
RFR,31 Days,108,108,0
RFR,31 Days Sub (Drugs),4,4,0
RFR,31 Days Sub (Surgery),13,13,0
RFR,62 Days,69,54,15
RFR,62 Days (Screening),4,3,1
RFR,62 Days (Upgrade),31,26.5,4.5
RFS,2 week wait,484,445,39
RFS,2WW Breast,11,7,4
RFS,31 Days,160,160,0
RFS,31 Days Sub (Drugs),12,12,0
RFS,31 Days Sub (Surgery),11,10,1
RFS,62 Days,82,67,15
RFS,62 Days (Screening),14.5,13,1.5
RFS,62 Days (Upgrade),2,2,0
RGM,31 Days,50,50,0
RGM,31 Days Sub (Surgery),9,9,0
RGM,62 Days,20,9,11
RGM,62 Days (Upgrade),2,2,0
RGN,2 week wait,992,845,147
RGN,2WW Breast,36,26,10
RGN,31 Days,426,402,24
RGN,31 Days Sub (Drugs),20,20,0
RGN,31 Days Sub (Radio),48,46,2
RGN,31 Days Sub (Surgery),29,29,0
RGN,62 Days,325,233,92
RGN,62 Days (Screening),14.5,11.5,3
RGN,62 Days (Upgrade),10.5,6.5,4
RGP,2 week wait,216,201,15
RGP,2WW Breast,18,17,1
RGP,31 Days,142,142,0
RGP,31 Days Sub (Drugs),33,33,0
RGP,31 Days Sub (Surgery),16,16,0
RGP,62 Days,79,53,26
RGP,62 Days (Screening),3.5,3,0.5
RGP,62 Days (Upgrade),24.5,23.5,1
RGR,2 week wait,283,254,29
RGR,2WW Breast,80,77,3
RGR,31 Days,190,190,0
RGR,31 Days Sub (Drugs),39,39,0
RGR,31 Days Sub (Surgery),11,11,0
RGR,62 Days,112,88,24
RGR,62 Days (Screening),8,8,0
RGR,62 Days (Upgrade),1,1,0
RGT,2 week wait,709,644,65
RGT,2WW Breast,18,17,1
RGT,31 Days,458,436,22
RGT,31 Days Sub (Drugs),76,75,1
RGT,31 Days Sub (Radio),206,204,2
RGT,31 Days Sub (Surgery),37,28,9
RGT,62 Days,220,190,30
RGT,62 Days (Screening),17,13,4
RGT,62 Days (Upgrade),2,2,0
RH5,2 week wait,423,335,88
RH5,2WW Breast,5,2,3
RH5,31 Days,256,244,12
RH5,31 Days Sub (Drugs),81,81,0
RH5,31 Days Sub (Radio),60,57,3
RH5,31 Days Sub (Surgery),17,15,2
RH5,62 Days,118,97,21
RH5,62 Days (Screening),10,7,3
RH5,62 Days (Upgrade),38,37.5,0.5
RH8,2 week wait,859,706,153
RH8,2WW Breast,6,3,3
RH8,31 Days,482,474,8
RH8,31 Days Sub (Drugs),104,104,0
RH8,31 Days Sub (Radio),114,112,2
RH8,31 Days Sub (Surgery),70,70,0
RH8,62 Days,276,176,100
RH8,62 Days (Screening),16,12,4
RH8,62 Days (Upgrade),38,35,3
RHM,2 week wait,665,632,33
RHM,2WW Breast,13,11,2
RHM,31 Days,690,674,16
RHM,31 Days Sub (Drugs),116,115,1
RHM,31 Days Sub (Radio),201,169,32
RHM,31 Days Sub (Surgery),113,107,6
RHM,62 Days,297,218,79
RHM,62 Days (Screening),20.5,18.5,2
RHM,62 Days (Upgrade),5.5,5.5,0
RHQ,2 week wait,787,745,42
RHQ,2WW Breast,84,80,4
RHQ,31 Days,706,656,50
RHQ,31 Days Sub (Drugs),174,174,0
RHQ,31 Days Sub (Radio),271,256,15
RHQ,31 Days Sub (Surgery),68,61,7
RHQ,62 Days,242,162,80
RHQ,62 Days (Screening),10.5,6,4.5
RHQ,62 Days (Upgrade),29.5,16.5,13
RHU,2 week wait,625,583,42
RHU,2WW Breast,75,71,4
RHU,31 Days,498,496,2
RHU,31 Days Sub (Drugs),66,66,0
RHU,31 Days Sub (Radio),106,103,3
RHU,31 Days Sub (Surgery),85,80,5
RHU,62 Days,225,192,33
RHU,62 Days (Screening),19,18,1
RHU,62 Days (Upgrade),6.5,4.5,2
RHW,2 week wait,554,516,38
RHW,2WW Breast,31,30,1
RHW,31 Days,316,304,12
RHW,31 Days Sub (Drugs),56,56,0
RHW,31 Days Sub (Radio),89,69,20
RHW,31 Days Sub (Surgery),15,15,0
RHW,62 Days,148,116,32
RHW,62 Days (Screening),11,8,3
RHW,62 Days (Upgrade),3,3,0
RJ1,2 week wait,485,432,53
RJ1,2WW Breast,14,14,0
RJ1,31 Days,504,476,28
RJ1,31 Days Sub (Drugs),153,153,0
RJ1,31 Days Sub (Radio),155,149,6
RJ1,31 Days Sub (Surgery),48,46,2
RJ1,62 Days,170,102,68
RJ1,62 Days (Screening),1,1,0
RJ1,62 Days (Upgrade),45,30,15
RJ2,2 week wait,974,828,146
RJ2,2WW Breast,3,2,1
RJ2,31 Days,148,142,6
RJ2,31 Days Sub (Drugs),11,11,0
RJ2,31 Days Sub (Surgery),9,9,0
RJ2,62 Days,109,86,23
RJ2,62 Days (Screening),1,1,0
RJ2,62 Days (Upgrade),38,34.5,3.5
RJ6,2 week wait,455,447,8
RJ6,2WW Breast,18,18,0
RJ6,31 Days,52,50,2
RJ6,31 Days Sub (Surgery),9,9,0
RJ6,62 Days,56,45,11
RJ6,62 Days (Upgrade),5,2.5,2.5
RJ7,2 week wait,560,522,38
RJ7,2WW Breast,94,93,1
RJ7,31 Days,232,212,20
RJ7,31 Days Sub (Drugs),84,84,0
RJ7,31 Days Sub (Surgery),33,33,0
RJ7,62 Days,92,62,30
RJ7,62 Days (Screening),8.5,6.5,2
RJ7,62 Days (Upgrade),7,5,2
RJC,2 week wait,346,272,74
RJC,2WW Breast,138,63,75
RJC,31 Days,128,120,8
RJC,31 Days Sub (Drugs),14,14,0
RJC,31 Days Sub (Surgery),7,6,1
RJC,62 Days,87,52,35
RJC,62 Days (Screening),8.5,3,5.5
RJC,62 Days (Upgrade),6,3.5,2.5
RJE,2 week wait,1156,1064,92
RJE,2WW Breast,36,36,0
RJE,31 Days,620,602,18
RJE,31 Days Sub (Drugs),66,66,0
RJE,31 Days Sub (Radio),114,109,5
RJE,31 Days Sub (Surgery),50,43,7
RJE,62 Days,344,242,102
RJE,62 Days (Screening),32,28,4
RJE,62 Days (Upgrade),79.5,61,18.5
RJL,2 week wait,408,386,22
RJL,2WW Breast,19,19,0
RJL,31 Days,274,272,2
RJL,31 Days Sub (Drugs),56,56,0
RJL,31 Days Sub (Surgery),12,12,0
RJL,62 Days,149,104,45
RJL,62 Days (Screening),4,1,3
RJL,62 Days (Upgrade),1,1,0
RJN,2 week wait,238,200,38
RJN,2WW Breast,16,12,4
RJN,31 Days,108,108,0
RJN,31 Days Sub (Drugs),4,4,0
RJN,31 Days Sub (Surgery),11,11,0
RJN,62 Days,69,49,20
RJN,62 Days (Screening),18,12,6
RJN,62 Days (Upgrade),12,12,0
RJR,2 week wait,307,287,20
RJR,31 Days,72,72,0
RJR,31 Days Sub (Drugs),3,3,0
RJR,31 Days Sub (Surgery),3,3,0
RJR,62 Days,45,31,14
RJR,62 Days (Screening),4,4,0
RJR,62 Days (Upgrade),23,20,3
RJZ,2 week wait,883,779,104
RJZ,2WW Breast,20,19,1
RJZ,31 Days,272,254,18
RJZ,31 Days Sub (Drugs),12,10,2
RJZ,31 Days Sub (Surgery),23,20,3
RJZ,62 Days,140,87,53
RJZ,62 Days (Screening),20,15,5
RJZ,62 Days (Upgrade),46.5,39,7.5
RK5,2 week wait,611,588,23
RK5,2WW Breast,13,13,0
RK5,31 Days,158,152,6
RK5,31 Days Sub (Drugs),6,5,1
RK5,31 Days Sub (Surgery),4,3,1
RK5,62 Days,130,94,36
RK5,62 Days (Screening),1,0,1
RK5,62 Days (Upgrade),12,10.5,1.5
RK9,2 week wait,810,767,43
RK9,2WW Breast,41,37,4
RK9,31 Days,560,546,14
RK9,31 Days Sub (Drugs),89,88,1
RK9,31 Days Sub (Radio),76,76,0
RK9,31 Days Sub (Surgery),162,132,30
RK9,62 Days,311,235,76
RK9,62 Days (Screening),16,15,1
RK9,62 Days (Upgrade),10,8,2
RKB,2 week wait,705,670,35
RKB,2WW Breast,22,22,0
RKB,31 Days,456,446,10
RKB,31 Days Sub (Drugs),88,88,0
RKB,31 Days Sub (Radio),140,109,31
RKB,31 Days Sub (Surgery),14,14,0
RKB,62 Days,181,120,61
RKB,62 Days (Screening),23,17.5,5.5
RKB,62 Days (Upgrade),22,19.5,2.5
RKE,2 week wait,317,271,46
RKE,2WW Breast,7,5,2
RKE,31 Days,44,42,2
RKE,31 Days Sub (Drugs),2,2,0
RKE,31 Days Sub (Surgery),3,3,0
RKE,62 Days,32,24,8
RKE,62 Days (Screening),2,2,0
RKE,62 Days (Upgrade),2.5,1.5,1
RL1,2 week wait,13,13,0
RL1,31 Days,6,6,0
RL1,31 Days Sub (Surgery),2,2,0
RL1,62 Days,7,6,1
RL1,62 Days (Upgrade),0.5,0.5,0
RL4,2 week wait,571,537,34
RL4,2WW Breast,64,51,13
RL4,31 Days,400,368,32
RL4,31 Days Sub (Drugs),48,48,0
RL4,31 Days Sub (Radio),81,77,4
RL4,31 Days Sub (Surgery),40,38,2
RL4,62 Days,170,89,81
RL4,62 Days (Screening),18,12,6
RL4,62 Days (Upgrade),69.5,52.5,17
RLQ,2 week wait,272,265,7
RLQ,2WW Breast,12,12,0
RLQ,31 Days,158,138,20
RLQ,31 Days Sub (Drugs),1,1,0
RLQ,31 Days Sub (Radio),1,1,0
RLQ,31 Days Sub (Surgery),5,5,0
RLQ,62 Days,130,106,24
RLQ,62 Days (Screening),3,2,1
RLQ,62 Days (Upgrade),8.5,7,1.5
RLT,2 week wait,201,188,13
RLT,2WW Breast,27,26,1
RLT,31 Days,84,82,2
RLT,31 Days Sub (Drugs),3,3,0
RLT,31 Days Sub (Surgery),6,6,0
RLT,62 Days,72,44,28
RLT,62 Days (Screening),1.5,1.5,0
RLT,62 Days (Upgrade),2.5,2,0.5
RM1,2 week wait,964,786,178
RM1,2WW Breast,48,42,6
RM1,31 Days,670,640,30
RM1,31 Days Sub (Drugs),91,90,1
RM1,31 Days Sub (Radio),106,97,9
RM1,31 Days Sub (Surgery),84,60,24
RM1,62 Days,339,206,133
RM1,62 Days (Screening),14.5,8,6.5
RM1,62 Days (Upgrade),17.5,12,5.5
RM3,2 week wait,605,557,48
RM3,31 Days,250,250,0
RM3,31 Days Sub (Drugs),7,7,0
RM3,31 Days Sub (Surgery),20,20,0
RM3,62 Days,113,101,12
RM3,62 Days (Upgrade),49,42.5,6.5
RMC,2 week wait,398,383,15
RMC,2WW Breast,45,43,2
RMC,31 Days,146,146,0
RMC,31 Days Sub (Drugs),1,1,0
RMC,31 Days Sub (Surgery),11,11,0
RMC,62 Days,93,80,13
RMC,62 Days (Screening),9.5,8.5,1
RMC,62 Days (Upgrade),14.5,9,5.5
RMP,2 week wait,381,368,13
RMP,2WW Breast,36,36,0
RMP,31 Days,74,74,0
RMP,31 Days Sub (Drugs),6,6,0
RMP,31 Days Sub (Surgery),4,4,0
RMP,62 Days,66,57,9
RMP,62 Days (Upgrade),15.5,13,2.5
RN3,2 week wait,603,533,70
RN3,2WW Breast,23,21,2
RN3,31 Days,246,226,20
RN3,31 Days Sub (Drugs),33,32,1
RN3,31 Days Sub (Surgery),22,22,0
RN3,62 Days,155,131,24
RN3,62 Days (Screening),14,11.5,2.5
RN3,62 Days (Upgrade),7,4.5,2.5
RN5,2 week wait,638,611,27
RN5,2WW Breast,51,51,0
RN5,31 Days,322,312,10
RN5,31 Days Sub (Drugs),62,62,0
RN5,31 Days Sub (Surgery),23,22,1
RN5,62 Days,182,156,26
RN5,62 Days (Screening),21,19,2
RN5,62 Days (Upgrade),8.5,8.5,0
RN7,2 week wait,337,317,20
RN7,2WW Breast,24,24,0
RN7,31 Days,92,92,0
RN7,31 Days Sub (Drugs),29,27,2
RN7,31 Days Sub (Surgery),11,11,0
RN7,62 Days,49,41,8
RN7,62 Days (Screening),2,1.5,0.5
RN7,62 Days (Upgrade),1,1,0
RNA,2 week wait,537,506,31
RNA,2WW Breast,23,22,1
RNA,31 Days,210,202,8
RNA,31 Days Sub (Drugs),10,10,0
RNA,31 Days Sub (Surgery),42,42,0
RNA,62 Days,131,91,40
RNA,62 Days (Screening),3.5,3,0.5
RNA,62 Days (Upgrade),40,34,6
RNN,2 week wait,500,473,27
RNN,2WW Breast,31,25,6
RNN,31 Days,168,166,2
RNN,31 Days Sub (Drugs),41,40,1
RNN,31 Days Sub (Radio),33,33,0
RNN,31 Days Sub (Surgery),7,7,0
RNN,62 Days,109,72,37
RNN,62 Days (Screening),3,1,2
RNN,62 Days (Upgrade),7,6,1
RNQ,2 week wait,364,348,16
RNQ,2WW Breast,22,21,1
RNQ,31 Days,202,198,4
RNQ,31 Days Sub (Drugs),6,6,0
RNQ,31 Days Sub (Surgery),9,9,0
RNQ,62 Days,134,103,31
RNQ,62 Days (Screening),9.5,8,1.5
RNQ,62 Days (Upgrade),12,10,2
RNS,2 week wait,473,367,106
RNS,2WW Breast,35,8,27
RNS,31 Days,234,222,12
RNS,31 Days Sub (Drugs),50,47,3
RNS,31 Days Sub (Radio),86,80,6
RNS,31 Days Sub (Surgery),9,8,1
RNS,62 Days,128,86,42
RNS,62 Days (Screening),11.5,10,1.5
RNS,62 Days (Upgrade),29,21,8
RNZ,2 week wait,350,321,29
RNZ,2WW Breast,9,9,0
RNZ,31 Days,174,158,16
RNZ,31 Days Sub (Drugs),22,22,0
RNZ,31 Days Sub (Surgery),39,39,0
RNZ,62 Days,103,79,24
RNZ,62 Days (Screening),1,0.5,0.5
RNZ,62 Days (Upgrade),21,19,2
RP4,31 Days,34,34,0
RP4,31 Days Sub (Drugs),15,15,0
RP4,31 Days Sub (Surgery),6,6,0
RP4,62 Days (Upgrade),9.5,9.5,0
RP5,2 week wait,634,588,46
RP5,2WW Breast,18,17,1
RP5,31 Days,272,268,4
RP5,31 Days Sub (Drugs),3,3,0
RP5,31 Days Sub (Surgery),14,14,0
RP5,62 Days,165,132,33
