org_code,name,attendances_type_1,attendances_type_2,attendences_type_3,attendences_total,perc_4_hours_or_less_type_1,perc_4_hours_or_less_type_2,perc_4_hours_or_less_type_3,perc_4_hours_or_less_all,num_patients_more_4_hours_from_decision_to_admit_to_admission,num_patients_more_12_hours_from_decision_to_admit_to_admission
RJ1,Guy's And St Thomas' NHS Foundation Trust,7007,495,1693,9195,0.8955330383901813,1,1,0.9203915171288743,81,17
RQX,Homerton University Hospital NHS Foundation Trust,5687,0,0,5687,0.9374010902057324,NA,NA,0.9374010902057324,60,1
RY9,Hounslow And Richmond Community Healthcare NHS Trust,0,0,1671,1671,NA,NA,0.9994015559545183,0.9994015559545183,0,0
RYJ,Imperial College Healthcare NHS Trust,7827,2502,4577,14906,NA,NA,NA,NA,786,8
RJZ,King's College Hospital NHS Foundation Trust,9890,0,5850,15740,0.6629929221435794,NA,0.9358974358974359,0.7644218551461245,1575,74
RAX,Kingston Hospital NHS Foundation Trust,4454,0,1802,6256,0.7824427480916031,NA,0.9977802441731409,0.8444693094629157,292,0
RJ2,Lewisham And Greenwich NHS Trust,8992,0,6736,15728,0.8296263345195729,NA,0.9829275534441805,0.8952822990844354,348,49
R1K,London North West University Healthcare NHS Trust,8309,0,9924,18233,0.8873510651101215,NA,0.9971785570334543,0.9471288323369714,153,1
RP6,Moorfields Eye Hospital NHS Foundation Trust,0,2834,0,2834,NA,1,NA,1,0,0
RAT,North East London NHS Foundation Trust,0,0,1334,1334,NA,NA,1,1,0,0
RAP,North Middlesex University Hospital NHS Trust,7407,348,3003,10758,0.7324152828405562,1,0.9533799533799534,0.8027514407882506,759,9
RAL,Royal Free London NHS Foundation Trust,13432,0,1999,15431,0.8413490172721858,NA,1,0.8619013673773572,821,11
RAN,Royal National Orthopaedic Hospital NHS Trust,0,0,0,0,NA,NA,NA,NA,0,0
RJ7,St George's University Hospitals NHS Foundation Trust,7664,0,238,7902,0.918580375782881,NA,1,0.9210326499620349,149,0
RAS,The Hillingdon Hospitals NHS Foundation Trust,3864,0,3612,7476,0.62939958592132506,NA,0.9894795127353266,0.8033707865168539,573,4
Y03218,The Pinn Unregistered Wic,0,0,1627,1627,NA,NA,1,1,0,0
RRV,University College London Hospitals NHS Foundation Trust,5303,0,0,5303,0.9053366019234396,NA,NA,0.9053366019234396,360,1
Y02147,Urgent Care Centre (Qms),0,0,4505,4505,NA,NA,0.9964483906770255,0.9964483906770255,0,0
RKE,Whittington Health NHS Trust,6304,0,0,6304,0.8689720812182741,NA,NA,0.8689720812182741,165,3
NL7,Assura Vertis Urgent Care Centres (Birmingham),0,0,2913,2913,NA,NA,1,1,0,0
8J094,Badger Ltd,0,0,466,466,NA,NA,1,1,0,0
M85813,Birmingham Wic,0,0,735,735,NA,NA,1,1,0,0
RQ3,Birmingham Women's And Children's NHS Foundation Trust,3316,0,0,3316,0.9267189384800965,NA,NA,0.9267189384800965,0,0
RFS,Chesterfield Royal Hospital NHS Foundation Trust,4084,0,1316,5400,0.873898139079334,NA,0.9984802431610942,0.9042592592592592,180,0
Y03571,Corby Urgent Care Centre,0,0,3763,3763,NA,NA,1,1,0,0
RYG,Coventry And Warwickshire Partnership NHS Trust,0,0,0,0,NA,NA,NA,NA,0,0
RY8,Derbyshire Community Health Services NHS Foundation Trust,0,0,4250,4250,NA,NA,0.9997647058823529,0.9997647058823529,0,0
NNJ,Dhu Health Care C.I.C,0,0,407,407,NA,NA,1,1,0,0
Y03007,Erdington GP Health & Wellbeing Wic,0,0,885,885,NA,NA,1,1,0,0
RLT,George Eliot Hospital NHS Trust,4000,0,740,4740,0.87125,NA,0.9986486486486487,0.8911392405063291,215,0
RNQ,Kettering General Hospital NHS Foundation Trust,5879,0,0,5879,NA,NA,NA,NA,352,0
C82038,Latham House Medical Practice,0,0,189,189,NA,NA,0,0,0,0
RY5,Lincolnshire Community Health Services NHS Trust,0,0,3529,3529,NA,NA,0.995182771323321,0.995182771323321,0,0
NNJ0H,Llr Ea - The Merlyn Vaz Health & Social Care Centre,0,0,1254,1254,NA,NA,1,1,0,0
NJS05,Loughborough Urgent Care Centre,0,0,2967,2967,NA,NA,0.9979777553083923,0.9979777553083923,0,0
NNJ12,Market Harborough,0,0,148,148,NA,NA,1,1,0,0
C82009,Market Harborough Med.Ctr,0,0,158,158,NA,NA,1,1,0,0
NNJ13,Melton Mowbray,0,0,126,126,NA,NA,1,1,0,0
RNS,Northampton General Hospital NHS Trust,5954,532,960,7446,0.6711454484380248,1,1,0.7370400214880473,564,0
NR3,Nottingham Citycare Partnership,0,0,2482,2482,NA,NA,0.9991941982272361,0.9991941982272361,0,0
RX1,Nottingham University Hospitals NHS Trust,10595,1172,119,11886,NA,NA,NA,NA,654,27
NNJ14,Oadby,0,0,740,740,NA,NA,1,1,0,0
NNJ15,Oakham,0,0,86,86,NA,NA,1,1,0,0
C82010,Oakham Medical Practice,0,0,150,150,NA,NA,1,1,0,0
RXK,Sandwell And West Birmingham Hospitals NHS Trust,9446,805,1304,11555,0.7314207071776413,0.8993788819875776,0.9969325153374233,0.7730852444829078,494,2
RK5,Sherwood Forest Hospitals NHS Foundation Trust,6522,0,2464,8986,0.8971174486353879,NA,0.9882305194805194,0.922101046071667,107,2
R1D,Shropshire Community Health NHS Trust,0,0,1311,1311,NA,NA,1,1,0,0
C83023,Sleaford Medical Group,0,0,203,203,NA,NA,1,1,0,0
Y02615,South Birmingham GP Walk In Centre,0,0,5790,5790,NA,NA,1,1,0,0
RJC,South Warwickshire NHS Foundation Trust,4047,0,0,4047,0.8816407215221151,NA,NA,0.8816407215221151,8,0
Y02961,Summerfield GP Surg & Urgent Care Centre,0,0,1955,1955,NA,NA,1,1,0,0
RNA,The Dudley Group NHS Foundation Trust,6187,0,4904,11091,0.7533538063681914,NA,0.9965334420880914,0.8608781895230367,1461,8
RL1,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,0,0,0,0,NA,NA,NA,NA,0,0
RL4,The Royal Wolverhampton NHS Trust,8957,0,1814,10771,0.8078597744780619,NA,0.9911797133406836,0.8387336366168415,312,1
RXW,The Shrewsbury And Telford Hospital NHS Trust,7207,0,499,7706,0.6352157624531706,NA,0.9759519038076152,0.6572800415260835,1319,98
RWD,United Lincolnshire Hospitals NHS Trust,6795,0,5564,12359,0.5280353200883002,NA,0.9730409777138749,0.7283760822072983,1203,8
RRK,University Hospitals Birmingham NHS Foundation Trust,21769,0,679,22448,0.6808305388396343,NA,1,0.6904846756949394,2567,6
RKB,University Hospitals Coventry And Warwickshire NHS Trust,5785,1217,5038,12040,0.6295592048401037,0.9967132292522597,0.979952362048432,0.8132890365448505,538,0
RTG,University Hospitals Of Derby And Burton NHS Foundation Trust,10906,0,7342,18248,0.604437924078489,NA,0.9874693543993462,0.7585488820692678,844,3
RWE,University Hospitals Of Leicester NHS Trust,12687,1321,0,14008,0.6567352407976669,0.9727479182437547,NA,0.6865362649914335,1309,0
RJE,University Hospitals Of North Midlands NHS Trust,10455,349,4568,15372,0.6816834050693448,1,0.999124343257443,0.7832422586520947,650,1
RBK,Walsall Healthcare NHS Trust,4946,0,2340,7286,0.7731500202183583,NA,1,0.8460060389788636,347,1
RWP,Worcestershire Acute Hospitals NHS Trust,8206,0,2042,10248,0.6997319034852547,NA,0.9995102840352595,0.7594652615144418,919,12
RLQ,Wye Valley NHS Trust,3854,0,0,3854,0.7477944992215879,NA,NA,0.7477944992215879,188,1
RCF,Airedale NHS Foundation Trust,3833,278,0,4111,0.8390294808244195,1,NA,0.8499148625638531,2,0
RFF,Barnsley Hospital NHS Foundation Trust,6002,0,0,6002,0.811562812395868,NA,NA,0.811562812395868,207,0
RAE,Bradford Teaching Hospitals NHS Foundation Trust,8920,0,0,8920,0.8302690582959641,NA,NA,0.8302690582959641,624,0
NNF09,Bransholme Health Centre,0,0,1733,1733,NA,NA,0.9884593190998269,0.9884593190998269,0,0
RWY,Calderdale And Huddersfield NHS Foundation Trust,9569,0,0,9569,0.86477165848051,NA,NA,0.86477165848051,330,0
RXP,County Durham And Darlington NHS Foundation Trust,9180,0,2828,12008,0.7449891067538127,NA,1,0.8050466355762825,846,0
RP5,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,8958,0,2067,11025,0.7579816923420406,NA,1,0.8033560090702948,580,0
NNF94,East Riding Community Hospital,0,0,1218,1218,NA,NA,1,1,0,0
RR7,Gateshead Health NHS Foundation Trust,3793,0,1431,5224,0.8700237279198524,NA,0.9951083158630328,0.9042879019908117,155,0
NNFA7,Goole & District Hospital,0,0,695,695,NA,NA,1,1,0,0
RCD,Harrogate And District NHS Foundation Trust,2893,0,293,3186,0.7815416522640857,NA,1,0.8016321406151915,8,0
RWA,Hull University Teaching Hospitals NHS Trust,7782,0,0,7782,0.7518632742225649,NA,NA,0.7518632742225649,402,1
RV9,Humber Teaching NHS Foundation Trust,0,0,242,242,NA,NA,0.9958677685950413,0.9958677685950413,0,0
RR8,Leeds Teaching Hospitals NHS Trust,13366,0,3237,16603,0.6789615442166692,NA,1,0.7415527314340782,1438,0
ARN03,Local Care Direct,0,0,806,806,NA,NA,1,1,0,0
RXF,Mid Yorkshire Hospitals NHS Trust,12233,0,2402,14635,NA,NA,NA,NA,1805,0
RNN,North Cumbria Integrated Care NHS Foundation Trust,5185,0,631,5816,0.8054001928640309,NA,0.9984152139461173,0.8263411279229711,215,0
RVW,North Tees And Hartlepool NHS Foundation Trust,2376,0,6312,8688,NA,NA,NA,NA,85,0
RJL,Northern Lincolnshire And Goole NHS Foundation Trust,9235,0,204,9439,0.7268002165674066,NA,1,0.7327047356711516,654,6
RTF,Northumbria Healthcare NHS Foundation Trust,6145,0,5436,11581,0.9236777868185516,NA,0.9972406181015453,0.9582074086866419,0,0
RCU,Sheffield Children's NHS Foundation Trust,2330,0,113,2443,0.9785407725321889,NA,1,0.9795333606221859,0,0
RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,8289,496,3807,12592,0.748099891422367,1,0.9986866298923036,0.8337833545108005,538,0
RTR,South Tees Hospitals NHS Foundation Trust,6412,0,2438,8850,0.7763568309419838,NA,0.9995898277276456,0.8378531073446328,672,0
R0B,South Tyneside And Sunderland NHS Foundation Trust,9125,979,3745,13849,0.8335342465753425,0.9969356486210419,0.9973297730307076,0.889378294461694,83,0
RXG,South West Yorkshire Partnership NHS Foundation Trust,0,0,0,0,NA,NA,NA,NA,0,0
ARN02,St.George's Centre,0,0,1559,1559,NA,NA,1,1,0,0
RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,7802,920,2739,11461,0.8151755960010254,0.9836956521739131,1,0.872873222231917,107,0
RFR,The Rotherham NHS Foundation Trust,5621,0,0,5621,NA,NA,NA,NA,249,0
NNF76,The Wilberforce Health Centre,0,0,1159,1159,NA,NA,1,1,0,0
AJN,Workington Health Limited,0,0,167,167,NA,NA,1,1,0,0
RCB,York Teaching Hospital NHS Foundation Trust,7668,337,2837,10842,0.7082681272822118,1,0.9985900599224533,0.7933038184836746,749,43
RBS,Alder Hey Children's NHS Foundation Trust,3226,0,0,3226,0.9789212647241166,NA,NA,0.9789212647241166,0,0
RXL,Blackpool Teaching Hospitals NHS Foundation Trust,4655,0,6366,11021,0.5469387755102041,NA,1,0.8086380546229924,981,22
RMC,Bolton NHS Foundation Trust,6829,0,538,7367,0.740811246156099,NA,0.9107806691449815,0.7532238360255192,362,20
RY2,Bridgewater Community Healthcare NHS Foundation Trust,0,0,2544,2544,NA,NA,0.9996069182389937,0.9996069182389937,0,0
RJR,Countess Of Chester Hospital NHS Foundation Trust,4335,0,421,4756,0.91280276816609,NA,1,0.9205214465937763,130,0
RJN,East Cheshire NHS Trust,2785,0,0,2785,0.7127468581687613,NA,NA,0.7127468581687613,123,12
RXR,East Lancashire Hospitals NHS Trust,7847,0,3275,11122,0.7627118644067796,NA,0.966412213740458,0.8226937601150872,497,2
RXN,Lancashire Teaching Hospitals NHS Foundation Trust,3965,0,5907,9872,0.5765447667087011,NA,0.9757914338919925,0.8154376012965965,1079,7
RBQ,Liverpool Heart And Chest Hospital NHS Foundation Trust,0,0,0,0,NA,NA,NA,NA,0,0
REM,Liverpool University Hospitals NHS Foundation Trust,13790,228,3385,17403,0.7767222625090645,1,1,0.8230764810664828,641,0
REP,Liverpool Women's NHS Foundation Trust,0,1011,0,1011,NA,0.8961424332344213,NA,0.8961424332344213,0,0
R0A,Manchester University NHS Foundation Trust,14728,2046,3322,20096,0.7331613253666486,0.9833822091886608,0.9807344972907887,0.799562101910828,955,0
RW4,Mersey Care NHS Foundation Trust,0,0,1118,1118,NA,NA,1,1,0,0
RBT,Mid Cheshire Hospitals NHS Foundation Trust,4766,0,1001,5767,0.719051615610575,NA,1,0.7678168891971562,243,0
Y02532,Miriam Minor Emergency,0,0,833,833,NA,NA,1,1,0,0
RTV,North West Boroughs Healthcare NHS Foundation Trust,0,0,3361,3361,NA,NA,1,1,0,0
RW6,Pennine Acute Hospitals NHS Trust,16386,0,3335,19721,0.7137190284389112,NA,0.9373313343328336,0.7515338978753613,1226,42
AC008,Rossendale Minor Injuries Unit,0,0,579,579,NA,NA,0.998272884283247,0.998272884283247,0,0
RM3,Salford Royal NHS Foundation Trust,6146,0,384,6530,0.7878294825903026,NA,1,0.8003062787136294,363,0
NQT5F,Skelmersdale Walk In Centre,0,0,680,680,NA,NA,0.9029411764705882,0.9029411764705882,0,0
RVY,Southport And Ormskirk Hospital NHS Trust,4435,0,1946,6381,0.7594137542277339,NA,1,0.8327848299639555,419,1
RBN,St Helens And Knowsley Teaching Hospitals NHS Trust,7783,0,3063,10846,0.7512527303096492,NA,0.9996735226901731,0.8214088143094228,334,0
RWJ,Stockport NHS Foundation Trust,6464,0,0,6464,0.75,NA,NA,0.75,567,0
RMP,Tameside And Glossop Integrated Care NHS Foundation Trust,6164,0,1066,7230,0.7970473718364698,NA,1,0.8269709543568464,128,0
RBV,The Christie NHS Foundation Trust,0,0,0,0,NA,NA,NA,NA,0,0
RET,The Walton Centre NHS Foundation Trust,0,0,0,0,NA,NA,NA,NA,0,0
RTX,University Hospitals Of Morecambe Bay NHS Foundation Trust,5289,0,1062,6351,0.8362639440347892,NA,0.9821092278719398,0.860651865847898,144,0
RWW,Warrington And Halton Teaching Hospitals NHS Foundation Trust,5425,0,1282,6707,0.7135483870967742,NA,0.999219968798752,0.7681526763083346,870,0
RY7,Wirral Community Health And Care NHS Foundation Trust,0,0,978,978,NA,NA,1,1,0,0
RBL,Wirral University Teaching Hospital NHS Foundation Trust,5697,0,1085,6782,0.7240652975250131,NA,1,0.7682099675611914,283,0
RRF,"Wrightington, Wigan And Leigh NHS Foundation Trust",6394,0,2086,8480,0.8922427275570848,NA,0.9995206136145733,0.9186320754716981,219,6
RTK,Ashford And St Peter's Hospitals NHS Foundation Trust,6483,0,426,6909,0.7976245565324696,NA,1,0.8101027645100594,207,6
NTV0B,Ashford Walk-In-Centre,0,0,1537,1537,NA,NA,0.9993493819128172,0.9993493819128172,0,0
NQT10,Assura Reading Llp,0,0,531,531,NA,NA,1,1,0,0
RWX,Berkshire Healthcare NHS Foundation Trust,0,0,986,986,NA,NA,0.9797160243407708,0.9797160243407708,0,0
Y04538,Bracknell Urgent Care Centre Wic,0,0,173,173,NA,NA,1,1,0,0
RXH,Brighton And Sussex University Hospitals NHS Trust,8692,1165,0,9857,0.7731247123791992,0.9991416309012876,NA,0.7998376788069392,578,3
Y02676,Brighton Station Health Centre,0,0,627,627,NA,NA,1,1,0,0
RXQ,Buckinghamshire Healthcare NHS Trust,4824,947,2078,7849,0.6658374792703151,1,0.9971126082771896,0.7938590903299784,571,0
RN7,Dartford And Gravesham NHS Trust,6939,0,949,7888,0.8852860642743912,NA,1,0.8990872210953347,72,0
Y00751,East Berks Primary Care Ooh(Wam),0,0,0,0,NA,NA,NA,NA,0,0
RVV,East Kent Hospitals University NHS Foundation Trust,11700,0,2236,13936,0.7395726495726496,NA,0.998211091234347,0.7810706084959816,811,8
RXC,East Sussex Healthcare NHS Trust,6588,0,1433,8021,0.9022465088038859,NA,1,0.9197107592569504,56,0
Y02816,Eastbourne Station Health Centre,0,0,395,395,NA,NA,1,1,0,0
NDJ,First Community Health And Care Cic,0,0,690,690,NA,NA,1,1,0,0
RDU,Frimley Health NHS Foundation Trust,13576,0,0,13576,NA,NA,NA,NA,116,0
RN5,Hampshire Hospitals NHS Foundation Trust,7014,0,322,7336,0.8942115768463074,NA,1,0.898854961832061,490,0
NDA57,Haslemere Minor Injuries Unit,0,0,339,339,NA,NA,1,1,0,0
Y03051,Hastings Med P & Walkin,0,0,518,518,NA,NA,1,1,0,0
R1F,Isle Of Wight NHS Trust,2014,0,1116,3130,0.8962264150943396,NA,0.9991039426523297,0.9329073482428115,58,0
RYY,Kent Community Health NHS Foundation Trust,0,0,3089,3089,NA,NA,0.9964389770152153,0.9964389770152153,0,0
RWF,Maidstone And Tunbridge Wells NHS Trust,9739,0,982,10721,0.9567717424786939,NA,0.9989816700610998,0.9606380001865498,47,17
RPA,Medway NHS Foundation Trust,3839,0,1445,5284,0.6577233654597552,NA,0.972318339100346,0.7437547312641938,224,5
RNU,Oxford Health NHS Foundation Trust,0,0,1661,1661,NA,NA,0.9825406381697772,0.9825406381697772,0,0
RTH,Oxford University Hospitals NHS Foundation Trust,7902,1191,223,9316,0.7822070361933687,1,0.9955156950672646,0.8151567196221554,344,0
AQN04,Phl Lymington Utc,0,0,732,732,NA,NA,1,1,0,0
RHU,Portsmouth Hospitals University National Health Service Trust,6565,501,1328,8394,NA,NA,NA,NA,367,0
NTP11,Practice Plus Group Hospital - Southampton,0,0,2575,2575,NA,NA,1,1,0,0
NTPAD,Practice Plus Group Surgical Centre - St Marys Portsmouth,0,0,3202,3202,NA,NA,0.9962523422860712,0.9962523422860712,0,0
RPC,Queen Victoria Hospital NHS Foundation Trust,0,0,497,497,NA,NA,0.9979879275653923,0.9979879275653923,0,0
RHW,Royal Berkshire NHS Foundation Trust,7366,1426,0,8792,0.8267716535433071,0.9971949509116409,NA,0.8544131028207461,171,0
RA2,Royal Surrey County Hospital NHS Foundation Trust,4166,0,0,4166,0.9253480556889102,NA,NA,0.9253480556889102,12,0
RW1,Southern Health NHS Foundation Trust,0,0,372,372,NA,NA,0.9973118279569892,0.9973118279569892,0,0
RTP,Surrey And Sussex Healthcare NHS Trust,6548,0,412,6960,0.9413561392791692,NA,1,0.9448275862068966,136,0
RDR,Sussex Community NHS Foundation Trust,0,0,5194,5194,NA,NA,0.9955718136311128,0.9955718136311128,1,0
RHM,University Hospital Southampton NHS Foundation Trust,6875,873,0,7748,0.8864,0.9621993127147767,NA,0.8949406298399587,45,0
RYR,Western Sussex Hospitals NHS Foundation Trust,7498,0,1449,8947,0.8798346225660176,NA,0.9979296066252588,0.8989605454342238,181,4
G82071,Whitstable Medical Practice,0,0,1727,1727,NA,NA,1,1,0,0
NTV0W,Woking Walk In Centre,0,0,1465,1465,NA,NA,1,1,0,0
RJ8,Cornwall Partnership NHS Foundation Trust,0,0,0,0,NA,NA,NA,NA,0,0
RBD,Dorset County Hospital NHS Foundation Trust,2912,0,2406,5318,0.7915521978021978,NA,1,0.8858593456186536,23,0
RDY,Dorset Healthcare University NHS Foundation Trust,0,0,0,0,NA,NA,NA,NA,0,0
DD401,Exmouth Minor Injury Unit,0,0,646,646,NA,NA,1,1,0,0
RTQ,Gloucestershire Health And Care NHS Foundation Trust,0,0,2922,2922,NA,NA,0.999315537303217,0.999315537303217,0,0
RTE,Gloucestershire Hospitals NHS Foundation Trust,7065,0,1456,8521,0.691861288039632,NA,0.989010989010989,0.7426358408637483,736,22
RN3,Great Western Hospitals NHS Foundation Trust,3657,0,2451,6108,0.7973748974569319,NA,0.9979600163198694,0.8778650949574329,279,0
RVJ,North Bristol NHS Trust,5676,0,0,5676,0.733262861169838,NA,NA,0.733262861169838,561,7
RBZ,Northern Devon Healthcare NHS Trust,2918,0,0,2918,0.8752570253598355,NA,NA,0.8752570253598355,92,1
L83087,Okehampton Medical Centre,0,0,50,50,NA,NA,1,1,0,0
NQT5H,Paulton Memorial Hospital,0,0,29,29,NA,NA,1,1,0,0
REF,Royal Cornwall Hospitals NHS Trust,4194,0,4472,8666,0.6337625178826896,NA,0.993515205724508,0.8194091853219478,634,38
RH8,Royal Devon And Exeter NHS Foundation Trust,5087,0,1088,6175,0.7570277177118144,NA,1,0.799838056680162,176,1
RD1,Royal United Hospitals Bath NHS Foundation Trust,4566,0,615,5181,0.7463863337713534,NA,0.9934959349593496,0.7757189731712024,478,0
RNZ,Salisbury NHS Foundation Trust,2826,191,627,3644,0.8435951875442321,1,1,0.8787047200878156,103,0
NLX,Sirona Care & Health,0,0,4793,4793,NA,NA,0.9991654496140204,0.9991654496140204,0,0
RH5,Somerset NHS Foundation Trust,4284,0,3901,8185,0.7875816993464052,NA,0.9915406306075365,0.8847892486255345,61,0
RYF,South Western Ambulance Service NHS Foundation Trust,0,0,768,768,NA,NA,0.99609375,0.99609375,0,0
AAH,Tetbury Hospital Trust Ltd,0,0,125,125,NA,NA,1,1,0,0
RA9,Torbay And South Devon NHS Foundation Trust,4018,0,1337,5355,0.7257341961174714,NA,1,0.7942110177404295,296,3
RA7,University Hospitals Bristol And Weston NHS Foundation Trust,9249,1454,0,10703,0.6933722564601579,0.9814305364511692,NA,0.7325049051667757,1277,195
R0D,University Hospitals Dorset NHS Foundation Trust,8214,858,973,10045,NA,NA,NA,NA,472,0
RK9,University Hospitals Plymouth NHS Trust,6358,77,2187,8622,NA,NA,NA,NA,412,75
AXG,Wiltshire Health & Care,0,0,551,551,NA,NA,0.9945553539019963,0.9945553539019963,0,0
RA4,Yeovil District Hospital NHS Foundation Trust,3117,0,0,3117,0.9560474815527751,NA,NA,0.9560474815527751,7,0
