org_code,name,gp_referrals_made_all,other_referrals_made_all,gp_referrals_made_specific_acute,other_referrals_made_specific_acute
RJ8,Cornwall Partnership NHS Foundation Trust,97,98,97,98
RK9,University Hospitals Plymouth NHS Trust,8822,3647,8822,3418
RN3,Great Western Hospitals NHS Foundation Trust,5517,5205,4976,4993
RNZ,Salisbury NHS Foundation Trust,4703,3035,4703,2989
RTE,Gloucestershire Hospitals NHS Foundation Trust,9753,6672,9751,6672
RVJ,North Bristol NHS Trust,4492,3236,4455,2964
ADP02,Kims Hospital (Newnham Court),322,0,322,0
AJX,Sussex MSK Partnership 2,352,5,352,5
NNE,Dorking Healthcare Limited (DHC),1057,247,1057,247
NT212,"Nuffield Health, Chichester Hospital",252,0,0,0
NT218,"Nuffield Health, Haywards Heath Hospital",91,0,91,0
NT241,"Nuffield Health, Woking Hospital",1,0,0,0
NT244,Nuffield Hospital Oxford (The Manor),0,0,0,0
NT304,Spire Southampton Hospital,685,0,685,0
NT305,Spire Portsmouth Hospital,475,0,475,0
NT308,Spire Gatwick Park Hospital,735,0,735,0
NT309,Spire Sussex Hospital,277,0,277,0
NT310,Spire Tunbridge Wells Hospital,89,0,89,0
NT312,Spire Alexandra Hospital,461,0,461,0
NT343,Spire Thames Valley Hospital,261,0,261,0
NT344,Spire Dunedin Hospital,246,0,246,0
NT345,Spire Clare Park Hospital,626,0,626,0
NT364,Spire Montefiore Hospital,372,0,372,0
NT408,BMI - The Chaucer Hospital,195,22,195,22
NT410,BMI - The Chiltern Hospital,88,0,88,0
NT417,BMI - Goring Hall Hospital,59,10,59,10
NT418,BMI - The Hampshire Clinic,8,12,8,12
NT428,BMI - The Princess Margaret Hospital,82,0,82,0
NT431,BMI - The Runnymede Hospital,22,0,22,0
NT433,BMI - Sarum Road Hospital,16,4,16,4
NT435,BMI - The Shelburne Hospital,0,0,0,0
NT455,BMI Mount Alvernia Hospital,88,1,88,1
NTP11,Southampton NHS Treatment Centre,1071,0,1071,0
NTP16,Will Adams NHS Treatment Centre,822,0,822,0
NTPAD,St Mary's NHS Treatment Centre,817,237,817,237
NV1,InHealth Limited,1182,1028,1182,1028
NV323,Circle Reading Hospital,651,0,611,0
NVC01,Ashtead Hospital,129,0,129,0
NVC02,The Berkshire Independent Hospital,395,0,395,0
NVC11,North Downs Hospital,209,0,209,0
NVC25,Horton NHS Treatment Centre,310,0,310,0
NVM,Epsomedical Group,763,62,763,62
NWX,Here,528,27,527,27
NXM01,The Horder Centre - St Johns Road,62,0,62,0
NYG,Sussex Community Dermatology Service,5046,0,5046,0
R1C,Solent NHS Trust,319,602,122,526
R1F,Isle of Wight NHS Trust,2179,1968,2078,1890
RA2,Royal Surrey County Hospital NHS Foundation Trust,7044,4113,5851,3561
RDR,Sussex Community NHS Foundation Trust,93,162,93,162
RDU,Frimley Health NHS Foundation Trust,12542,4938,12010,4801
RHM,University Hospital Southampton NHS Foundation Trust,7818,9751,7397,9218
RHU,Portsmouth Hospitals University NHS Trust,7127,5524,6429,5327
RHW,Royal Berkshire NHS Foundation Trust,7097,13656,6659,11813
RN5,Hampshire Hospitals NHS Foundation Trust,7330,4185,7330,3864
RN7,Dartford and Gravesham NHS Trust,4739,2808,4647,2698
RPA,Medway NHS Foundation Trust,5290,2228,5265,1766
RPC,Queen Victoria Hospital NHS Foundation Trust,2481,690,2481,690
RTH,Oxford University Hospitals NHS Foundation Trust,15603,11700,15228,10463
RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,9704,3439,9615,3436
RTP,Surrey and Sussex Healthcare NHS Trust,5170,3956,5170,3956
RVV,East Kent Hospitals University NHS Foundation Trust,13857,14040,12687,11163
RW1,Southern Health NHS Foundation Trust,443,66,443,66
RWF,Maidstone and Tunbridge Wells NHS Trust,7986,6983,7986,5913
RWX,Berkshire Healthcare NHS Foundation Trust,197,179,197,179
RXC,East Sussex Healthcare NHS Trust,7537,3273,7534,3071
RXH,Brighton and Sussex University Hospitals NHS Trust,7817,7792,7158,7272
RXQ,Buckinghamshire Healthcare NHS Trust,6547,2569,6131,2469
RYR,Western Sussex Hospitals NHS Foundation Trust,7672,4928,7406,4733
RYY,Kent Community Health NHS Foundation Trust,1557,1056,0,0
NT213,"Nuffield Health, Derby Hospital",22,0,22,0
NT226,"Nuffield Health, Leicester Hospital",153,0,0,0
NT230,"Nuffield Health, North Staffordshire Hospital",80,0,80,0
NT235,"Nuffield Health, Shrewsbury Hospital",0,0,0,0
NT242,"Nuffield Health, Wolverhampton Hospital",134,1,134,1
NT301,Spire South Bank Hospital,183,0,183,0
NT30A,Spire Nottingham Hospital,424,0,424,0
NT320,Spire Parkway Hospital,342,0,342,0
NT321,Spire Little Aston Hospital,480,0,480,0
NT322,Spire Leicester Hospital,170,0,170,0
NT412,BMI - The Droitwich Spa Hospital,212,14,212,14
NT424,BMI - The Meriden Hospital,576,0,576,0
NT427,BMI - The Park Hospital,263,56,263,56
NT429,BMI - The Priory Hospital,253,17,253,17
NT441,BMI - Three Shires Hospital,636,28,636,28
NT445,BMI The Edgbaston Hospital,194,9,194,9
NT450,BMI The Lincoln Hospital,299,38,299,38
NTP13,Barlborough NHS Treatment Centre,154,0,154,0
NVC17,Rowley Hall Hospital,401,0,401,0
NVC21,West Midlands Hospital,7,0,7,0
NVC23,Woodland Hospital,579,0,579,0
NVC27,Boston West Hospital,92,0,92,0
NVC40,Woodthorpe Hospital,535,0,535,0
NVC44,The Westbourne Centre,278,0,278,0
NYW17,Aspen Healthcare - Midland Eye,197,0,197,0
R1A,Worcestershire Health and Care NHS Trust,1218,229,146,229
R1D,Shropshire Community Health NHS Trust,136,89,85,30
RBK,Walsall Healthcare NHS Trust,4739,2400,4723,2268
RFS,Chesterfield Royal Hospital NHS Foundation Trust,4196,3048,3978,2358
RHA,Nottinghamshire Healthcare NHS Foundation Trust,0,24,0,24
RJC,South Warwickshire NHS Foundation Trust,4010,1507,3963,1504
RJE,University Hospitals of North Midlands NHS Trust,8826,14773,8528,14601
RK5,Sherwood Forest Hospitals NHS Foundation Trust,5981,3242,5963,2877
RKB,University Hospitals Coventry and Warwickshire NHS Trust,11613,7721,11550,7124
RL1,The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,1829,796,1829,796
RL4,The Royal Wolverhampton NHS Trust,6666,6649,6190,6630
RLQ,Wye Valley NHS Trust,3562,3680,2825,2547
RLT,George Eliot Hospital NHS Trust,2207,1657,2207,1487
RNA,The Dudley Group NHS Foundation Trust,6184,3927,6183,3511
RNQ,Kettering General Hospital NHS Foundation Trust,3705,5650,3560,4840
RNS,Northampton General Hospital NHS Trust,6272,2350,5937,2337
RP1,Northamptonshire Healthcare NHS Foundation Trust,6,161,6,0
RQ3,Birmingham Women's and Children's NHS Foundation Trust,4392,3028,3423,2817
RRE,Midlands Partnership NHS Foundation Trust,382,146,382,146
RRJ,The Royal Orthopaedic Hospital NHS Foundation Trust,1409,914,1409,914
RRK,University Hospitals Birmingham NHS Foundation Trust,6053,12506,5423,10365
RTG,University Hospitals of Derby and Burton NHS Foundation Trust,13508,9313,12886,8431
RWD,United Lincolnshire Hospitals NHS Trust,4563,4870,4563,4860
RWE,University Hospitals of Leicester NHS Trust,14610,14868,14604,12715
RWP,Worcestershire Acute Hospitals NHS Trust,7598,4576,7597,4283
RX1,Nottingham University Hospitals NHS Trust,9137,7380,9040,7005
RXK,Sandwell and West Birmingham Hospitals NHS Trust,12057,7511,11302,7126
RXM,Derbyshire Healthcare NHS Foundation Trust,284,858,0,0
RXT,Birmingham and Solihull Mental Health NHS Foundation Trust,439,698,0,0
RXW,Shrewsbury and Telford Hospital NHS Trust,5838,4816,5838,4816
RY8,Derbyshire Community Health Services NHS Foundation Trust,0,2,0,2
RYG,Coventry and Warwickshire Partnership NHS Trust,55,72,55,72
RYW,Birmingham Community Healthcare NHS Foundation Trust,2309,1102,2309,1102
NQA,Provide,28,0,0,0
NQM01,Orthopaedics & Spine Specialist Hospital Site,83,0,83,0
NT209,"Nuffield Health, Cambridge Hospital",0,0,0,0
NT313,Spire Wellesley Hospital,627,0,627,0
NT315,Spire Bushey Hospital,414,0,414,0
NT316,Spire Harpenden Hospital,278,0,278,0
NT317,Spire Cambridge Lea Hospital,734,0,734,0
NT319,Spire Hartswood Hospital,495,0,495,0
NT423,BMI - The Manor Hospital,137,0,137,0
NT432,BMI - The Sandringham Hospital,0,0,0,0
NT434,BMI - The Saxon Clinic,86,0,86,0
NT446,BMI St Edmunds Hospital,77,8,77,8
NT490,BMI Southend Private Hospital,94,413,94,413
NVC06,Fitzwilliam Hospital,364,0,364,0
NVC13,Oaks Hospital,61,0,61,0
NVC15,Pinehill Hospital,126,0,126,0
NVC18,Springfield Hospital,96,0,96,0
NVC19,Rivers Hospital,329,0,329,0
NVC31,Blakelands Hospital,191,0,191,0
NYW01,Aspen - The Holly,1536,0,1536,0
RAJ,Mid and South Essex NHS Foundation Trust,20141,8901,20076,8749
RC9,Bedfordshire Hospitals NHS Foundation Trust,10450,7566,10375,7564
RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",4252,2393,4180,2240
RD8,Milton Keynes University Hospital NHS Foundation Trust,6470,3631,6400,3174
RDE,East Suffolk and North Essex NHS Foundation Trust,10331,7350,10306,7350
RGM,Royal Papworth Hospital NHS Foundation Trust,397,1652,397,1652
RGN,North West Anglia NHS Foundation Trust,8573,8794,8157,8099
RGP,James Paget University Hospitals NHS Foundation Trust,3604,2187,3409,2186
RGR,West Suffolk NHS Foundation Trust,3776,2888,3639,2518
RGT,Cambridge University Hospitals NHS Foundation Trust,8817,7884,8798,7147
RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,11255,5938,10852,5765
RQW,The Princess Alexandra Hospital NHS Trust,4411,2414,4399,2196
RT1,Cambridgeshire and Peterborough NHS Foundation Trust,5,10,5,10
RWG,West Hertfordshire Hospitals NHS Trust,7481,6051,7480,5668
RWH,East and North Hertfordshire NHS Trust,9129,3085,9129,3055
RY4,Hertfordshire Community NHS Trust,752,447,0,0
RYV,Cambridgeshire Community Services NHS Trust,160,706,0,0
NCR,iSight,13,215,13,215
NQT,Virgin Care Ltd,1569,66,1569,66
NT210,"Nuffield Health, The Grosvenor Hospital, Chester",252,30,0,0
NT324,Spire Cheshire Hospital,553,0,553,0
NT325,Spire Murrayfield Hospital,229,0,229,0
NT327,Spire Manchester Hospital,416,0,416,0
NT337,Spire Liverpool Hospital,967,0,967,0
NT339,Spire Regency Hospital,602,0,602,0
NT347,Spire Fylde Coast Hospital,881,0,881,0
NT401,BMI - The Alexandra Hospital,489,17,489,17
NT403,BMI - The Beardwood Hospital,589,18,589,18
NT404,BMI - The Beaumont Hospital,811,82,811,82
NT420,BMI - The Highfield Hospital,686,0,686,0
NT449,BMI The Lancaster Hospital,131,1,131,1
NT497,BMI Gisburne Park Hospital,142,11,142,11
NTPAE,The Croft Shifa Health Centre,342,0,342,0
NV10Y,North West CATS - InHealth Pathway Management Centre,457,329,457,329
NVC05,Euxton Hall Hospital,722,0,722,0
NVC07,Fulwood Hall Hospital,655,0,655,0
NVC12,Oaklands Hospital,84,0,84,0
NVC16,Renacres Hospital,586,0,586,0
NVG01,Fairfield Hospital,495,30,495,30
R0A,Manchester University NHS Foundation Trust,19990,24218,19797,22434
RBL,Wirral University Teaching Hospital NHS Foundation Trust,4468,3274,4420,3274
RBN,St Helens and Knowsley Teaching Hospitals NHS Trust,7162,4966,7141,4842
RBQ,Liverpool Heart and Chest Hospital NHS Foundation Trust,880,1941,880,1941
RBS,Alder Hey Children's NHS Foundation Trust,2372,5087,2123,4234
RBT,Mid Cheshire Hospitals NHS Foundation Trust,5125,2660,5125,2660
RBV,The Christie NHS Foundation Trust,48,1825,48,1820
REM,Liverpool University Hospitals NHS Foundation Trust,10897,10062,10897,10062
REN,The Clatterbridge Cancer Centre NHS Foundation Trust,36,902,36,902
REP,Liverpool Women's NHS Foundation Trust,679,4406,679,3168
RET,The Walton Centre NHS Foundation Trust,1942,2006,1942,2006
RJN,East Cheshire NHS Trust,2212,1412,2212,1291
RJR,Countess of Chester Hospital NHS Foundation Trust,4230,3086,4116,3083
RM3,Salford Royal NHS Foundation Trust,6418,4377,6418,4377
RMC,Bolton NHS Foundation Trust,5375,3269,5374,3268
RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,3889,1627,3724,1603
RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust",6094,4492,6074,4211
RT2,Pennine Care NHS Foundation Trust,70,0,0,0
RTV,North West Boroughs Healthcare NHS Foundation Trust,428,0,0,0
RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,5423,5290,5420,5281
RVY,Southport and Ormskirk Hospital NHS Trust,2696,5282,2696,5282
RW4,Mersey Care NHS Foundation Trust,1690,946,0,0
RW5,Lancashire & South Cumbria NHS Foundation Trust,958,1754,958,1754
RW6,Pennine Acute Hospitals NHS Trust,10731,7867,10693,7162
RWJ,Stockport NHS Foundation Trust,4975,2753,4971,2393
RWW,Warrington and Halton Teaching Hospitals NHS Foundation Trust,3638,3126,3638,3117
RXL,Blackpool Teaching Hospitals NHS Foundation Trust,5944,4960,5875,4677
RXN,Lancashire Teaching Hospitals NHS Foundation Trust,7295,6234,7285,5244
RXR,East Lancashire Hospitals NHS Trust,8130,2851,7519,2789
RY2,Bridgewater Community Healthcare NHS Foundation Trust,171,146,171,146
AJ8,The Grange Medical Centre HQ,92,0,0,0
NEY,Pioneer Healthcare Limited,54,0,0,0
NQH,Novus Health Ltd,333,8,333,8
NT225,"Nuffield Health, Leeds Hospital",18,91,18,91
NT237,"Nuffield Health, Tees Hospital",338,0,338,0
NT245,"Nuffield Health, York Hospital",24,1,24,1
NT332,Spire Leeds Hospital,543,0,543,0
NT333,Spire Washington Hospital,1024,0,1024,0
NT348,Spire Elland Hospital,548,0,548,0
NT350,Spire Methley Park Hospital,224,0,224,0
NT351,Spire Hull and East Riding Hospital,607,0,607,0
NT440,BMI - Thornbury Hospital,126,187,126,187
NT447,BMI The Duchy Hospital,71,13,71,13
NT448,BMI The Huddersfield Hospital,258,14,258,14
NT457,BMI Woodlands Hospital,593,61,593,61
NTX,The One Health Group Ltd,582,158,582,80
NVC0R,Tees Valley Hospital,459,0,459,0
NVC14,Park Hill Hospital,59,0,59,0
NVC20,The Yorkshire Clinic,1465,0,1465,0
NVC28,Clifton Park Hospital,112,0,112,0
NVC29,Cobalt Hospital,121,0,121,0
NYW04,Aspen - Claremont Hospital,301,0,301,0
R0B,South Tyneside and Sunderland NHS Foundation Trust,9377,9453,9377,8943
RAE,Bradford Teaching Hospitals NHS Foundation Trust,5778,7025,5665,6158
RCB,York Teaching Hospital NHS Foundation Trust,10139,10275,9867,9645
RCD,Harrogate and District NHS Foundation Trust,4443,2231,4442,2214
RCF,Airedale NHS Foundation Trust,3161,1263,3135,1183
RCU,Sheffield Children's NHS Foundation Trust,1546,2746,1546,2746
RFF,Barnsley Hospital NHS Foundation Trust,3974,1332,3657,1266
RFR,The Rotherham NHS Foundation Trust,2980,2892,2928,2524
RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,11698,12061,11694,10855
RJL,Northern Lincolnshire and Goole NHS Foundation Trust,4433,5487,4125,4826
RNN,North Cumbria Integrated Care NHS Foundation Trust,5333,3152,5329,2252
RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,8244,5275,8240,4690
RR7,Gateshead Health NHS Foundation Trust,3218,1610,3108,1598
RR8,Leeds Teaching Hospitals NHS Trust,16444,12788,16426,11676
RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,15930,13272,14559,13025
RTF,Northumbria Healthcare NHS Foundation Trust,4174,6688,4030,6069
RTR,South Tees Hospitals NHS Foundation Trust,7575,5912,7517,5507
RVW,North Tees and Hartlepool NHS Foundation Trust,4415,1628,4188,1531
RWA,Hull University Teaching Hospitals NHS Trust,9293,4283,9292,4283
RWY,Calderdale and Huddersfield NHS Foundation Trust,4673,1959,4590,1896
RX4,"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust",31,0,0,0
RXF,Mid Yorkshire Hospitals NHS Trust,10587,5103,8269,4913
RXG,South West Yorkshire Partnership NHS Foundation Trust,0,57,0,57
RXP,County Durham and Darlington NHS Foundation Trust,11454,3612,11139,3555
RY6,Leeds Community Healthcare NHS Trust,208,317,208,317
TAD,Bradford District Care NHS Foundation Trust,22,0,22,0
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
